"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"ENSG00000001461" 138.928785928596 -1.31945320698662 0.295360331646166 -4.46726613432736 7.92255456145001e-06 0.000861260301600073
"ENSG00000005243" 66.7530403838238 -1.8121811005046 0.478577957009462 -3.78659542079321 0.000152725463600871 0.00921594630144072
"ENSG00000005302" 17.8105021693118 2.05033477554931 0.625901329432379 3.2758115043608 0.00105358854026595 0.0380317722149795
"ENSG00000006118" 120.636754404048 -1.13505401667968 0.295694594003176 -3.83860253010745 0.000123736544311508 0.00772864968219376
"ENSG00000008517" 6.09849163231327 -4.02917772970485 1.25458435265405 -3.21156383082667 0.00132014639525103 0.0442357760347528
"ENSG00000010438" 10.9400371338687 -7.70107807117337 2.38470819554425 -3.22935866348872 0.0012406818969115 0.0425748214311245
"ENSG00000011677" 21.3273384949194 -2.1199897960823 0.62519009014819 -3.39095233512066 0.000696502133302951 0.0280974527934879
"ENSG00000012061" 106.232159406244 -1.34656697785013 0.345119676424181 -3.90173922217952 9.55040146438106e-05 0.00629663274325234
"ENSG00000019991" 39.5710859463338 2.73559353104194 0.610908811351636 4.47790812672915 7.53780263405681e-06 0.000825737287012331
"ENSG00000021762" 30.1912243893364 -2.17186286367794 0.565331660968913 -3.84174992066714 0.000122160265959415 0.00766380769836137
"ENSG00000022267" 3.11777531362505 -6.00681487974241 1.65083263844866 -3.63865769299741 0.000274062792368717 0.0141410442975467
"ENSG00000023902" 463.876005405753 -1.58152314636197 0.377674645353991 -4.18752798425115 2.82009257982724e-05 0.00237638688930886
"ENSG00000025434" 66.6167076352942 -1.43131828696427 0.34928728214399 -4.09782537222247 4.17049711179911e-05 0.00321038104698006
"ENSG00000025772" 581.483106171562 1.11916119486663 0.263700124604852 4.24406775136594 2.19504031572882e-05 0.00196601063750278
"ENSG00000028277" 244.537825436033 -1.54774633723235 0.442431851528892 -3.49827059666674 0.000468285750919903 0.0212383992957017
"ENSG00000036448" 32.1086960271972 5.13631354927976 1.00174678577188 5.12735715475449 2.93837768156431e-07 4.80982029461578e-05
"ENSG00000049759" 138.630756733846 -1.46735028032396 0.439811774583574 -3.336314226042 0.000848971473426665 0.0324134122066197
"ENSG00000050165" 11.461570625183 -7.10620541126885 1.42472797127489 -4.98776296566283 6.10824466804162e-07 8.98428790573729e-05
"ENSG00000050327" 8.74757155029757 -7.55067674050419 1.37548015863389 -5.48948430343296 4.03108936798371e-08 8.200963384208e-06
"ENSG00000052723" 30.8163231606828 -1.35081322104858 0.416005664583906 -3.24710295086889 0.00116586209230437 0.0409996997100886
"ENSG00000061656" 134.107431020736 -1.84356776577273 0.540252716172843 -3.41241739390519 0.000643894388725068 0.0265020230920049
"ENSG00000063601" 2.82183787628211 -5.52523041557326 1.73589717269851 -3.18292494651863 0.00145795400870267 0.0477303977883556
"ENSG00000064195" 10.1815454819044 -6.46770302918126 1.27911361391467 -5.0563944897648 4.27257074798503e-07 6.61366087196249e-05
"ENSG00000064205" 128.576602230688 -2.44106618042835 0.457920325217405 -5.33076617481309 9.77992746052811e-08 1.83257824954448e-05
"ENSG00000065809" 7.06135530478342 -4.83264442251923 1.17068318248208 -4.12805487841131 3.65844813711249e-05 0.00289444221781216
"ENSG00000066629" 78.6060638434603 -1.58159864416693 0.467034304734992 -3.3864721030811 0.000707974741311499 0.0283209783455535
"ENSG00000068079" 45.5980364405878 -1.78830658045282 0.559700568635083 -3.19511303126578 0.0013977608657616 0.0462918895100255
"ENSG00000071282" 10.7875451400675 -5.38955326043786 1.09389389815822 -4.92694334387658 8.35259610565202e-07 0.000117771605089693
"ENSG00000074370" 31.2539548069473 -6.54396138676757 1.39283992408391 -4.69828676907839 2.62352896969846e-06 0.000327734000504174
"ENSG00000074416" 733.345366088918 -2.07126647423842 0.299342313213214 -6.9193908873254 4.53589693903592e-12 3.22978541544053e-09
"ENSG00000075234" 21.9893631055442 -1.91729822064993 0.522840315585361 -3.66708182880535 0.00024533430292999 0.0132012261416333
"ENSG00000076706" 138.712385437176 -1.98460434408395 0.588814935605567 -3.37050612013244 0.000750302393557439 0.029435417043117
"ENSG00000077942" 13.1618062617965 -7.60893345526956 1.32834911235798 -5.72811272615131 1.0155407852979e-08 2.69306777694921e-06
"ENSG00000079263" 104.35404860258 2.28989470566567 0.356182564632147 6.42899157074293 1.28453249487325e-10 5.22657921699715e-08
"ENSG00000079308" 19.8210975552929 -4.51382876105297 0.809900256113218 -5.57331440135015 2.49937908798056e-08 5.47594732183556e-06
"ENSG00000084636" 27.3136816122028 -1.975194641614 0.452822387645526 -4.3619633116731 1.28900488837277e-05 0.00124651922776311
"ENSG00000085117" 946.933884194563 -1.22491306120933 0.331063873606284 -3.6999297080238 0.000215659192010386 0.0119847293791617
"ENSG00000087116" 9.44496842627659 -5.09323883046731 1.18691159620833 -4.29116949125615 1.77734587721826e-05 0.00163297952499775
"ENSG00000087510" 21.3241470368211 -8.58641799551495 1.27888565023833 -6.71398415793843 1.89380879248528e-11 1.03729734668396e-08
"ENSG00000090263" 225.589668186676 1.36020723453026 0.295351955955787 4.60537743902355 4.11718415075462e-06 0.000484568756123111
"ENSG00000090339" 21.6548680449184 -7.42599366711712 1.20526114545085 -6.16131507694067 7.21432846865558e-10 2.50583540785669e-07
"ENSG00000092068" 12.3979224525831 3.56240971569701 1.00152766289388 3.55697585566788 0.000375148620782777 0.0181717398250596
"ENSG00000095303" 22.4948356068705 -8.3991792752427 1.30479590819503 -6.43715942278021 1.21730060914285e-10 5.22657921699715e-08
"ENSG00000095752" 24.6537824794895 -2.17712040356188 0.550774330653199 -3.95283563956201 7.7230487703869e-05 0.00533615034804971
"ENSG00000099875" 77.3276127047578 -1.47590431470391 0.408538704553674 -3.61264256789655 0.000303092364874489 0.0152520790394968
"ENSG00000099994" 6.31479004991002 5.07262874018032 1.34965583572019 3.75846093939461 0.000170961720723638 0.0100192010898162
"ENSG00000100003" 67.3180682053233 -1.55076615054363 0.414640444666885 -3.74002625766402 0.000184001032616102 0.0106087396983235
"ENSG00000100234" 514.046474829588 -4.89702230242775 0.397533967996713 -12.3185002959753 7.20211781170787e-35 1.02565359756532e-30
"ENSG00000100292" 5765.0662180964 -2.08563802011734 0.43626967884829 -4.78061648846012 1.7475846166993e-06 0.000228324335104723
"ENSG00000100302" 20.0979598725373 -5.85392087950243 1.06408449617112 -5.50136845388359 3.76854730954616e-08 7.77795394713723e-06
"ENSG00000100342" 18.3348703593486 -3.38467082061746 0.744906313837865 -4.54375370129318 5.52612234088809e-06 0.000624583398861803
"ENSG00000100345" 1298.77321993081 -0.873698220731343 0.259856037580165 -3.36223944945597 0.00077313049584104 0.0300823808504706
"ENSG00000100350" 44.0525705604315 2.19121212847682 0.483717138005 4.5299452020949 5.89989867986478e-06 0.000661578402361845
"ENSG00000100906" 581.146465862082 -0.930681166467193 0.276047754513788 -3.37144987144138 0.000747736452243124 0.029435417043117
"ENSG00000101019" 395.877370971147 0.931436561457413 0.280052336270364 3.32593747962238 0.000881216921277953 0.0333760908934025
"ENSG00000101084" 361.856240243193 1.68902459111568 0.478399539005755 3.53057319960203 0.000414660259341294 0.0195535654082098
"ENSG00000101187" 46.9074651218405 -4.10700318965735 0.571807306210094 -7.18249512563653 6.84505027442076e-13 5.73413887988388e-10
"ENSG00000102174" 22.7719984347642 2.05914385836466 0.583144334127249 3.53110497325921 0.00041382747919552 0.0195535654082098
"ENSG00000102312" 84.8135077708553 -1.61756832671949 0.332390528675604 -4.86646937012502 1.13609521365992e-06 0.000154086970835533
"ENSG00000103024" 20.4793121390664 -6.17741419213786 1.2325577043725 -5.01186611403545 5.39047057645062e-07 8.16656292332269e-05
"ENSG00000103241" 21.8892721037869 -4.74983518548177 0.774443805353887 -6.1332212261822 8.61172607271503e-10 2.9199902619413e-07
"ENSG00000103534" 3.17574520460278 -5.34704363832104 1.66704816727167 -3.20749198691249 0.0013389779065553 0.0445522999234906
"ENSG00000104419" 931.064327450591 -1.81549959049916 0.267291925944387 -6.79219764714065 1.10438101384809e-11 7.4892809610527e-09
"ENSG00000104763" 299.8560011996 1.73837494477397 0.311173850415566 5.58650716457185 2.31681994555593e-08 5.15528638197843e-06
"ENSG00000104870" 97.0115111730231 -0.915117301589054 0.276921888988093 -3.30460443171541 0.00095110534541151 0.0352726333958472
