"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"ENSG00000182636" -7.37590041355913 1.56228681398289 -29.2703844739965 3.79401276678326e-12 8.85294939001206e-08 16.4257839864099
"ENSG00000145335" -6.4441158757305 1.25646122891848 -24.6049369350658 2.70606664245318e-11 3.15716795175012e-07 15.1738543186095
"ENSG00000113263" -5.59303301556752 0.626166696815264 -23.642345668883 4.24412966609018e-11 3.30108405428494e-07 14.8627255103681
"ENSG00000203685" -5.53630334651291 0.740258446975434 -21.592451352039 1.17722434119966e-10 5.66665859161579e-07 14.1255279028659
"ENSG00000169860" -5.66110610862674 0.696021645780029 -21.5329745868483 1.21424929108078e-10 5.66665859161579e-07 14.102479384432
"ENSG00000136235" -9.1425926749619 3.63604979262309 -21.0358337752484 1.57807190993654e-10 6.1371216577432e-07 13.9058726133436
"ENSG00000224397" -6.87400074703948 1.96245944425615 -20.6890163962698 1.9013342465799e-10 6.33796190138505e-07 13.7644151913479
"ENSG00000197951" -4.93870358032215 0.364135582498327 -20.159899322053 2.54127851186361e-10 6.89500047577026e-07 13.5414997108122
"ENSG00000068650" -4.93856069538315 0.354904471482708 -19.9171981845353 2.9100369738084e-10 6.89500047577026e-07 13.4362779936136
"ENSG00000116774" -5.2314785576838 4.60094874820575 -19.8899602628296 2.95491577773646e-10 6.89500047577026e-07 13.4243495260371
"ENSG00000172548" -6.03991377829141 1.08043462585225 -19.5643994302147 3.55355437461473e-10 7.50710240399837e-07 13.2798705968158
"ENSG00000117114" -5.33459101287425 1.05486551808001 -19.4197550277295 3.86068521676439e-10 7.50710240399837e-07 13.2145341561241
"ENSG00000156959" -6.63629382673449 1.35571343303311 -18.9401317186156 5.10364693412605e-10 8.73384912430437e-07 12.9926882863668
"ENSG00000232629" 5.28679814818015 0.631842402894291 18.8953549814543 5.24015975573246e-10 8.73384912430437e-07 12.9715606621726
"ENSG00000153898" -4.37168006810095 -0.0225178333126014 -18.3962773162765 7.06123903736091e-10 1.09844634465186e-06 12.7310970705305
"ENSG00000214100" 5.45338943310072 0.541361705290665 18.1487987660087 8.21001997925412e-10 1.19732878872447e-06 12.6083813247538
"ENSG00000107317" -5.34867841855699 0.648011348278625 -17.9247808428866 9.42600329112839e-10 1.24371173714767e-06 12.4952469375955
"ENSG00000144908" 4.74452581521234 0.531024788683195 17.8963032159867 9.59407357018003e-10 1.24371173714767e-06 12.4807230399157
"ENSG00000085831" -4.24615817527406 -0.110985833570744 -16.4580916861212 2.42807051374441e-09 2.981926177248e-06 11.7030934295027
"ENSG00000169297" -6.78413799498398 1.43418563694359 -16.3029099352986 2.69593962954745e-09 3.14535276579301e-06 11.6137208883508
"ENSG00000117069" 5.1877486183164 0.616090568227877 16.2244321285995 2.84345731623695e-09 3.15948728652728e-06 11.5680945562854
"ENSG00000078018" -6.41921795900397 1.4769771829014 -16.1395999221106 3.01281929866947e-09 3.19550570523425e-06 11.5184458813045
"ENSG00000213088" 4.5546609572469 0.256175213831894 16.0606791182803 3.18022714955688e-09 3.22640957859827e-06 11.471948358479
"ENSG00000104369" -4.38289507794152 0.182779674663422 -15.9475863001353 3.43793776372854e-09 3.34253499078507e-06 11.4047942918845
"ENSG00000063601" -5.44462986439913 0.525838339384328 -15.8651367755991 3.64005721648102e-09 3.39748380357472e-06 11.3554436143231
"ENSG00000130508" -5.05625480317881 0.373208620319911 -15.8052992624062 3.7947965400071e-09 3.40568394094329e-06 11.3194183487427
"ENSG00000124102" 4.33247231297084 7.06656054721042 15.6483941082015 4.23544136015553e-09 3.66036254436552e-06 11.2241090106869
"ENSG00000165300" -6.41768401847058 1.2948562178116 -15.5952101944079 4.39713668180556e-09 3.66438526190182e-06 11.1915232598504
"ENSG00000155265" -5.46939279572487 0.937383952174991 -15.406588283267 5.02678770332003e-09 4.02368514762888e-06 11.0747949211345
"ENSG00000121310" -5.44129532298401 0.747458802622217 -15.3664062391132 5.17316167090368e-09 4.02368514762888e-06 11.0496921629
"ENSG00000126822" 4.69906762616745 0.47445874862583 15.2665544983938 5.55727822686128e-09 4.18301710147036e-06 10.9869487429502
"ENSG00000133083" -6.73504437905686 1.73265497248308 -15.1699248350737 5.95856800798151e-09 4.30242416450859e-06 10.9257321971263
"ENSG00000231672" -4.79947803893934 0.245501131034002 -15.1410063886583 6.08468318457116e-09 4.30242416450859e-06 10.9073158975272
"ENSG00000123496" -6.74294439875961 2.03939823097374 -15.0616744547827 6.44573992112651e-09 4.42367339175194e-06 10.8565657928167
"ENSG00000134201" -4.39278505654248 0.260680805544665 -14.8719530197448 7.40685189484061e-09 4.82476255923845e-06 10.733823237687
"ENSG00000161381" -4.0113363191516 3.69720788073544 -14.8652181174248 7.44370669977647e-09 4.82476255923845e-06 10.7294300298875
"ENSG00000174652" -5.87684806079782 1.13706158198946 -14.6001560134505 9.06437478125915e-09 5.71643570664598e-06 10.5545360461601
"ENSG00000227517" 5.16003320309709 0.768631196276033 14.5295736251956 9.55774766623585e-09 5.86896010641966e-06 10.5073005497522
"ENSG00000135116" -7.50779425826034 1.98285886683975 -13.7879494736099 1.69239962518631e-08 9.96374003369086e-06 9.99341919292497
"ENSG00000054983" -5.05388127370079 0.515940824191805 -13.7763070419086 1.70802091946359e-08 9.96374003369086e-06 9.98508816948814
"ENSG00000099994" 6.98752857538873 1.99670284656509 13.7075244629517 1.80355376355979e-08 1.00328917162312e-05 9.93569748209422
"ENSG00000075884" -3.94998163925645 -0.189512824664514 -13.705906879531 1.80586891266697e-08 1.00328917162312e-05 9.93453239974623
"ENSG00000117148" -4.4560820585765 4.82118863006119 -13.6572611044725 1.87701753716858e-08 1.01856574912306e-05 9.89941828690397
"ENSG00000165757" -5.58321902167321 0.869013406877957 -13.5022629783556 2.1247049072019e-08 1.12676964328748e-05 9.78654077909997
"ENSG00000050327" -5.4596289680051 0.513961860712698 -13.3751021853188 2.35436464804959e-08 1.22081654883531e-05 9.69279057202856
"ENSG00000236719" 4.0189046897667 0.233527532499706 13.2959042772142 2.51088384271869e-08 1.27367312143474e-05 9.6338723646278
"ENSG00000272398" 4.81645164403593 0.422530957545796 13.1905825765082 2.73671565652843e-08 1.33381806929199e-05 9.55488306250831
"ENSG00000146267" -3.88293991431638 -0.248931269324577 -13.1258865914331 2.88626802875002e-08 1.33381806929199e-05 9.50599843983432
"ENSG00000155849" 5.24287494968632 0.7917071663613 13.1180348841016 2.90501145704098e-08 1.33381806929199e-05 9.50004667587443
"ENSG00000271200" -4.877576572864 0.509089080178944 -13.1077707929201 2.92971250749808e-08 1.33381806929199e-05 9.49226005938378
"ENSG00000162458" -4.70819246469275 0.601671541516329 -13.1032209532075 2.94073452198592e-08 1.33381806929199e-05 9.48880617397633
"ENSG00000127561" 4.82554678664587 1.12461739660625 13.0902417694825 2.9724239137389e-08 1.33381806929199e-05 9.47894576692023
"ENSG00000153904" -3.96594473838004 0.555476099133895 -12.9852348263422 3.24281163502081e-08 1.4276937111618e-05 9.39875420325476
"ENSG00000135333" -3.77200799119651 -0.151359316556622 -12.8876929596053 3.51792979286681e-08 1.52013655160656e-05 9.3235932501396
"ENSG00000112981" -3.8871023203107 -0.00829616082163842 -12.8624521487938 3.59316411077409e-08 1.52441620656005e-05 9.30403783653527
"ENSG00000164220" 4.41950402572701 -0.0249256224269666 12.8162789565463 3.73533302683414e-08 1.54639838535334e-05 9.26815135273961
"ENSG00000154917" -5.35246462284978 0.759903202245634 -12.7846603262619 3.83619182277787e-08 1.54639838535334e-05 9.24349178385587
"ENSG00000160183" 3.23564334805587 -0.397059401627714 12.7823133973902 3.84379473517157e-08 1.54639838535334e-05 9.24165863239775
"ENSG00000175274" -3.81063835198436 -0.235781097637135 -12.7243641127407 4.03678738899103e-08 1.59651520228334e-05 9.19627358296759
"ENSG00000078725" -4.01627112625461 0.0456330737006144 -12.6719659550515 4.22033437996614e-08 1.64128804036883e-05 9.15503377851485
"ENSG00000179242" -4.4287827224817 0.0910073842499351 -12.5518529168477 4.67605033074278e-08 1.76704380400883e-05 9.05976750100236
"ENSG00000275676" 4.16541552799299 0.0360689702641043 12.5298452633279 4.76517653205984e-08 1.76704380400883e-05 9.04220108200641
"ENSG00000223764" 5.1827338858983 0.486075645885537 12.5284516289534 4.77088195991069e-08 1.76704380400883e-05 9.04108752159149
"ENSG00000254337" -4.26374014309586 0.161143789816813 -12.4702576776634 5.01584429872729e-08 1.8287454822891e-05 8.99446410613307
"ENSG00000261364" -4.92529361105117 0.121262107021902 -12.3831441388175 5.40831489007268e-08 1.94150184069163e-05 8.92421394423878
"ENSG00000130635" 4.88694131235353 6.30602686244006 12.3637610166949 5.50008155036786e-08 1.94452883176187e-05 8.90850795127279
"ENSG00000168528" -5.4268980226152 0.61790110062499 -12.2874153286118 5.87824562269611e-08 2.04720870686554e-05 8.84637799880689
"ENSG00000130940" 3.56118112122904 -0.241524121373771 12.2529642861099 6.05801518472125e-08 2.07879009294538e-05 8.81820130561043
"ENSG00000135253" -6.91840704711521 1.69190454193239 -12.1106522719395 6.86615258771817e-08 2.28933478962506e-05 8.70087221142007
"ENSG00000133134" -3.61176693668133 3.28401434470632 -12.1103796666349 6.8678081457853e-08 2.28933478962506e-05 8.70064600630561
"ENSG00000186340" -3.64862275806526 4.74942759352608 -12.0273481281125 7.39272858155854e-08 2.42901144046007e-05 8.63148586023742
"ENSG00000189223" -3.43777045907869 4.68222498460143 -12.0119106261769 7.49502115852939e-08 2.42901144046007e-05 8.61856969299126
"ENSG00000237187" -5.16324955662031 1.46228018288427 -11.965038434119 7.81509444164704e-08 2.49804676303277e-05 8.57924144128217
"ENSG00000142405" -4.48378683026798 0.779104886814122 -11.826497462442 8.85064957816099e-08 2.79082509806498e-05 8.46200976874222
"ENSG00000169851" -5.01207088502055 0.912768756482437 -11.7639244486045 9.366167483844e-08 2.8477256324057e-05 8.40857210641757
"ENSG00000119630" 4.06301600281391 3.04781134441318 11.7513712108101 9.47344594775035e-08 2.8477256324057e-05 8.39781460338902
"ENSG00000169224" 3.48048080853896 -0.405415127202162 11.7434821045318 9.54154417391219e-08 2.8477256324057e-05 8.39104768554943
"ENSG00000164659" -3.99788285107985 0.00789176764389971 -11.7413473706068 9.56006184254474e-08 2.8477256324057e-05 8.38921576494235
"ENSG00000132205" 3.70817404844888 5.24774695221595 11.7320335321529 9.6413098894339e-08 2.8477256324057e-05 8.38121889814811
"ENSG00000171714" -3.61331618992158 -0.0353776933432494 -11.7095618663554 9.84042643564113e-08 2.86990313601214e-05 8.36189652684214
"ENSG00000189129" 3.63774241654784 -0.205435493514755 11.6957644503823 9.96488071164514e-08 2.86990313601214e-05 8.35001296715853
"ENSG00000171992" 5.14301949546889 6.40492509414337 11.6713857491662 1.01889562161394e-07 2.86990313601214e-05 8.32897897896818
"ENSG00000178726" -4.67695581199281 0.427225889975255 -11.6676451355281 1.02238169373498e-07 2.86990313601214e-05 8.32574739474019
"ENSG00000163393" -4.70999647797152 0.40947138272011 -11.6561922397322 1.03313561080406e-07 2.86990313601214e-05 8.31584610998428
"ENSG00000250742" -4.24814328247202 -0.11720971378668 -11.6413913274467 1.04721459679087e-07 2.87478887076684e-05 8.30303491908151
"ENSG00000163590" -4.83606336699172 1.00678881131274 -11.6097024537684 1.07805975669337e-07 2.92505190263756e-05 8.27554726170155
"ENSG00000095383" -4.73646483768607 5.25607982906878 -11.5862351272685 1.10153447349532e-07 2.95396201989136e-05 8.25513935930555
"ENSG00000174004" -3.6252898017044 -0.125800528333959 -11.5739591135186 1.11403384653484e-07 2.95396201989136e-05 8.24444615376959
"ENSG00000204252" 3.05498017921522 4.79125090694761 11.5499007331162 1.13897662624424e-07 2.98616635918911e-05 8.22345457329909
"ENSG00000198959" -5.82151463334351 3.36882664771266 -11.4955633625199 1.19755977745945e-07 3.10487331635986e-05 8.1758717481881
"ENSG00000161249" -3.46084453530344 4.58407954943812 -11.4599534887626 1.23771289568769e-07 3.17371348439302e-05 8.14455850437803
"ENSG00000166228" -3.55675746862088 3.90837044044466 -11.4413349655054 1.25928377693247e-07 3.17853902928756e-05 8.12814531779303
"ENSG00000260027" -4.21314116757086 -0.195022065883748 -11.4345629307564 1.26723007902004e-07 3.17853902928756e-05 8.1221683960822
"ENSG00000224596" -3.53641778159648 6.24874366496327 -11.423388708455 1.28046056721107e-07 3.17853902928756e-05 8.11229794835341
"ENSG00000178922" -4.42204992127683 0.558698624466638 -11.336068926539 1.38913573192257e-07 3.41200980722961e-05 8.03481296573751
"ENSG00000035862" -3.097435807909 7.54656935805899 -11.3008835860664 1.4357069988655e-07 3.48966532411745e-05 8.00341244078607
"ENSG00000145794" 4.12151003646245 0.10808241354893 11.2737683643528 1.47274675587848e-07 3.54279101048127e-05 7.97914371856162
"ENSG00000127084" 4.15145749524059 0.657757684058392 11.2572914468242 1.49575759667433e-07 3.56142936334682e-05 7.96436655574521
"ENSG00000279739" 2.85910645657327 -0.736053957002352 11.2184777693356 1.55151191295614e-07 3.65686656332511e-05 7.92946707505463
"ENSG00000198464" -3.52560804478346 -0.214137032974143 -11.0749309435293 1.77804635860049e-07 4.11344496614937e-05 7.79929177261216
