"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"ko:K01026" 79.8159744285812 3.01666600730284 1.22161076477848 2.46941668678719 0.0135333528055026 0.0466621496535502
"ko:K01278" 2052.02339788252 1.01038709604089 0.223443137990162 4.52189807719839 0.00000612875704138878 0.000121536368447879
"ko:K01897" 2415.06438418108 0.383899799201043 0.15618181831423 2.45803130828363 0.0139700994587271 0.0475145824613684
"ko:K02119" 390.329794482436 0.630879108839846 0.224385081232588 2.81159115113319 0.00492971206575381 0.0224135872419636
"ko:K21572" 18908.3797382659 1.49123625803353 0.310566114691235 4.80167084395579 0.00000157347182557588 0.0000394491864840811
"ko:K02030" 1474.49979876325 -0.749638468267998 0.136972478004425 -5.47291309312358 0.0000000442697246697949 0.00000235434444834818
"ko:K03798" 2148.6278009571 -0.514627347645583 0.131368454486598 -3.91743474228119 0.0000894962623152367 0.00104710626908827
"ko:K04070" 157.858334549124 -1.63716584161646 0.545036078297059 -3.00377517527228 0.002666522907097 0.0143111550518509
"ko:K06881" 994.616821232909 -0.79193298638363 0.192299058266998 -4.11823642570349 0.0000381782903013105 0.000513432179914175
"ko:K01470" 275.955119202349 0.938169673022105 0.383387628758443 2.44705254590572 0.0144029839263106 0.048563375198223
"ko:K02405" 163.944246222616 -2.31030579888585 0.782858992439187 -2.95111357370698 0.00316630466955974 0.016014019294171
"ko:K03070" 3151.7563925141 -0.309763714925082 0.0803203088829556 -3.85660512556639 0.000114972664949865 0.00128958986818826
"ko:K00962" 1766.60985253923 -0.367082627784361 0.0948415884420903 -3.87048165065792 0.000108620533128747 0.00123841710547809
"ko:K07313" 125.721730668502 -2.64583087746268 0.753099061173804 -3.51325743699481 0.000442648371547233 0.00385532452637913
"ko:K03718" 308.463663633687 0.945312550147576 0.334443965919316 2.82651997487564 0.00470568091077719 0.0216757742740524
"ko:K03043" 3265.08822848576 -0.356127639351825 0.085982484719096 -4.14186261905888 0.0000344496680052953 0.000474189547837594
"ko:K11527" 383.421163189586 -1.42700064661981 0.418867903946422 -3.40680351293361 0.000657284258481321 0.00512750950447933
"ko:K03596" 1218.6296917561 -0.295112102688149 0.0965174790225901 -3.05760268167673 0.00223115186402667 0.0124504658866989
"ko:K07793" 179.756239484683 4.23703372708909 1.60866416684676 2.63388332655805 0.00844144894593794 0.0330682621534489
"ko:K02005" 2669.15070207948 0.642254002206906 0.14484520585042 4.43407152094598 0.00000924699275713993 0.000175442943662493
"ko:K02003" 4272.3126469107 -0.561934000542643 0.182967970979666 -3.07121512871284 0.00213189487503336 0.0119919086720627
"ko:K02935" 696.031221723544 -0.462285497125106 0.133623025933596 -3.45962452126206 0.000540929103744868 0.00454863637071171
"ko:K18581" 791.626967561693 0.938070486171049 0.243721185825623 3.84894929422433 0.000118625557176975 0.00131764463826323
"ko:K06147" 10133.1672770807 -0.651302393091131 0.189377377034176 -3.43917738903731 0.000583484766519635 0.00476286402438121
"ko:K03546" 1509.57939968791 0.648206250949485 0.249927734089252 2.59357471195255 0.00949838994965658 0.0358102564159985
"ko:K02058" 668.183397949936 -2.39905193578767 0.398263201761443 -6.02378508779399 0.00000000170384578511064 0.000000139081365249729
"ko:K03076" 944.576554350836 -0.55670064082256 0.150070075154251 -3.70960459805427 0.00020758318474966 0.00210582941754713
"ko:K15771" 3603.81895561856 -0.949500255728333 0.252276082565794 -3.76373473882805 0.00016739444664447 0.00179132471866491
"ko:K03286" 1074.11199439256 1.11144293846797 0.252804929763301 4.39644487751329 0.0000110038288586986 0.000202216959654619
"ko:K01409" 1046.22895560753 -0.612446599589927 0.165498153926193 -3.70062496203466 0.000215069137297706 0.00217548320436585
"ko:K06942" 885.371021913663 -0.254042674547234 0.0833403256704715 -3.04825632133622 0.00230173504870751 0.012683029860225
"ko:K01194" 182.362963323547 1.57088913183446 0.63583846619358 2.47057895260493 0.013489453829687 0.0465565220670613
"ko:K03931" 271.192453710381 1.57820690548859 0.562102929771386 2.80768311620519 0.00498993014179578 0.0225995545776815
"ko:K01284" 1468.21905415922 0.694942622714 0.223668369210586 3.10702235263183 0.00188982108640765 0.0110888832351881
"ko:K01414" 1652.55300452524 0.530822231512806 0.204370505780175 2.59735243833945 0.00939454757758961 0.0354950075321201
