# HOMER Differential Peaks
# Original Peak File = Turcan_K27_annotated_peaks_ip_32.txt
# Peak File Tag Directory = RC_IP
# Background Tag Directory = WC_IP
#
# Mode = Peaks enriched over background
# Differential peaks = 4957
# Fraction of original peaks = 19.38%
# Original number of peaks = 25578
# Size of region used to count tags = given peak sizes (-fixed)
# Fold change cutoff = 1.50
# Poisson p-value cutoff = 1.00e-03
# strand = 2 (tags counted on 0=+strand, 1=-strand, 2=both strands)
# peak directory tagAdjust = 44
# background directory tagAdjust = 44
#
# cmd = getDifferentialPeaks Turcan_K27_annotated_peaks_ip_32.txt RC_IP WC_IP -F 1.5 -P 0.001
#
#PeakID	chr	start	end	strand	score	focus ratio/other	Total Tags	Background Tags	Fold Change vs. Background	p-value
2026	chr1	8061048	8063072	+	0.000	0.000	998.0	627.3	1.59	1.86e-42
3878	chr1	8410386	8414262	+	0.000	0.000	2296.0	1424.8	1.61	8.26e-100
2258	chr1	8554273	8556529	+	0.000	0.000	1227.0	508.6	2.41	1.02e-159
2072	chr1	8889070	8891140	+	0.000	0.000	1213.5	588.6	2.06	3.84e-112
2001	chr1	8907285	8909284	+	0.000	0.000	1402.0	824.0	1.70	6.76e-75
1587	chr1	9320611	9322196	+	0.000	0.000	835.0	498.7	1.67	4.72e-43
1462	chr1	9561187	9562647	+	0.000	0.000	925.5	494.9	1.87	9.39e-67
3275	chr1	10386388	10389661	+	0.000	0.000	2648.5	1726.4	1.53	4.58e-94
2006-2	chr1	10897482	10899486	+	0.000	0.000	925.5	563.3	1.64	2.32e-44
1887	chr1	10900510	10902395	+	0.000	0.000	993.0	548.0	1.81	2.17e-65
3650	chr1	12294746	12298394	+	0.000	0.000	4781.0	2912.2	1.64	2.82e-220
4631	chr1	12422518	12427147	+	0.000	0.000	2152.5	1389.9	1.55	6.09e-80
2074	chr1	12509124	12511196	+	0.000	0.000	695.0	434.7	1.60	1.04e-30
7052	chr1	14539947	14546997	+	0.000	0.000	3512.0	2133.3	1.65	4.39e-164
5241	chr1	14550851	14556090	+	0.000	0.000	3547.5	1993.8	1.78	2.28e-215
2857	chr1	14741073	14743928	+	0.000	0.000	2084.0	1088.6	1.91	6.27e-158
1969	chr1	15282306	15284273	+	0.000	0.000	905.0	578.4	1.56	2.76e-36
2445	chr1	15702553	15704996	+	0.000	0.000	2426.5	1308.3	1.85	1.13e-167
1978	chr1	15765125	15767101	+	0.000	0.000	1526.5	820.5	1.86	3.31e-107
2561	chr1	20101232	20103791	+	0.000	0.000	740.0	446.6	1.66	4.84e-37
4736	chr1	20408659	20413393	+	0.000	0.000	3746.0	2407.1	1.56	1.73e-140
4685	chr1	21148847	21153530	+	0.000	0.000	3252.0	1632.4	1.99	1.31e-272
1810	chr1	21200238	21202046	+	0.000	0.000	712.0	442.4	1.61	3.42e-32
2170	chr1	22047450	22049618	+	0.000	0.000	1458.5	630.5	2.31	6.64e-174
2043	chr1	23060957	23062998	+	0.000	0.000	803.0	519.5	1.55	7.04e-31
3670	chr1	23166792	23170460	+	0.000	0.000	1574.5	1014.4	1.55	1.44e-59
3855	chr1	23186959	23190812	+	0.000	0.000	2377.0	1580.2	1.50	9.05e-78
2189	chr1	23393817	23396004	+	0.000	0.000	1736.0	823.7	2.11	2.43e-168
3726	chr1	23777656	23781380	+	0.000	0.000	2062.5	1294.9	1.59	7.69e-86
3057	chr1	24124849	24127904	+	0.000	0.000	1885.5	1196.1	1.58	1.59e-75
2147	chr1	24682449	24684594	+	0.000	0.000	1500.0	893.8	1.68	2.43e-76
3165-2	chr1	25308406	25311569	+	0.000	0.000	2149.0	1249.8	1.72	9.15e-118
3522	chr1	25341634	25345154	+	0.000	0.000	1525.5	813.8	1.87	1.81e-109
5035	chr1	25368826	25373859	+	0.000	0.000	3116.5	1240.2	2.51	0.00e+00
2846	chr1	25381222	25384066	+	0.000	0.000	1752.5	810.9	2.16	6.41e-180
2455-2	chr1	25413471	25415924	+	0.000	0.000	942.5	528.1	1.78	3.00e-59
2605	chr1	25467838	25470441	+	0.000	0.000	978.0	580.3	1.69	3.21e-51
3067	chr1	25694541	25697606	+	0.000	0.000	2505.0	1331.7	1.88	2.55e-180
2102	chr1	25707047	25709147	+	0.000	0.000	1352.0	422.6	3.20	9.49e-282
2152	chr1	25742797	25744947	+	0.000	0.000	1589.0	594.3	2.67	3.46e-249
2033	chr1	25803361	25805392	+	0.000	0.000	944.5	526.5	1.79	2.64e-60
3820	chr1	26580711	26584529	+	0.000	0.000	2248.0	1455.8	1.54	1.73e-82
1893-2	chr1	26860729	26862620	+	0.000	0.000	913.0	513.7	1.78	7.45e-57
1462-2	chr1	27073750	27075210	+	0.000	0.000	1049.0	525.3	2.00	5.30e-90
2357	chr1	27104679	27107034	+	0.000	0.000	1102.0	712.7	1.55	1.05e-41
1980	chr1	27145039	27147017	+	0.000	0.000	1434.0	941.1	1.52	1.78e-50
2340	chr1	27256012	27258350	+	0.000	0.000	774.0	406.6	1.90	4.35e-59
2320	chr1	27903979	27906297	+	0.000	0.000	1034.5	533.2	1.94	3.25e-82
2618	chr1	28424618	28427234	+	0.000	0.000	1633.0	951.3	1.72	1.70e-89
1844-2	chr1	28455340	28457182	+	0.000	0.000	831.5	455.2	1.83	2.94e-56
2591	chr1	30434409	30436998	+	0.000	0.000	1647.5	517.6	3.18	0.00e+00
2267	chr1	31802124	31804389	+	0.000	0.000	1433.5	834.9	1.72	9.00e-79
1354	chr1	32132858	32134210	+	0.000	0.000	695.5	431.2	1.61	1.23e-31
2061-3	chr1	33424171	33426230	+	0.000	0.000	881.5	373.9	2.36	5.00e-110
4791	chr1	33426375	33431164	+	0.000	0.000	2382.0	1486.5	1.60	2.95e-101
5227	chr1	33901786	33907011	+	0.000	0.000	2841.0	1637.8	1.73	1.57e-159
3508	chr1	34189451	34192957	+	0.000	0.000	3990.0	1593.7	2.50	0.00e+00
1902	chr1	34234667	34236567	+	0.000	0.000	711.0	381.9	1.86	3.45e-51
3039	chr1	34265427	34268464	+	0.000	0.000	2463.5	1412.6	1.74	6.06e-141
2364	chr1	35376710	35379072	+	0.000	0.000	1317.0	526.9	2.50	2.45e-183
1557	chr1	36365309	36366864	+	0.000	0.000	645.0	416.2	1.55	1.93e-25
1869	chr1	37891810	37893677	+	0.000	0.000	1055.0	465.1	2.27	1.86e-121
2287	chr1	38008523	38010808	+	0.000	0.000	1466.5	853.1	1.72	7.56e-81
2041-2	chr1	38063480	38065519	+	0.000	0.000	1678.5	953.3	1.76	1.04e-99
3897	chr1	39045883	39049778	+	0.000	0.000	3221.0	1539.6	2.09	5.73e-305
3533	chr1	39109495	39113026	+	0.000	0.000	2672.5	1474.4	1.81	2.30e-172
3202	chr1	39932994	39936194	+	0.000	0.000	2357.5	1550.2	1.52	7.12e-81
5789	chr1	40265813	40271600	+	0.000	0.000	2871.0	930.9	3.08	0.00e+00
2450	chr1	40389105	40391553	+	0.000	0.000	1345.5	878.7	1.53	2.22e-48
4264	chr1	40644463	40648725	+	0.000	0.000	4534.5	2979.7	1.52	4.77e-154
2513-3	chr1	40661658	40664169	+	0.000	0.000	951.0	579.6	1.64	2.04e-45
3451	chr1	40867534	40870983	+	0.000	0.000	1458.5	873.9	1.67	9.70e-73
4474	chr1	41680585	41685057	+	0.000	0.000	4192.0	2766.0	1.52	4.23e-140
3370	chr1	41771362	41774730	+	0.000	0.000	2046.5	565.9	3.62	0.00e+00
3021	chr1	41782611	41785630	+	0.000	0.000	2290.0	1213.6	1.89	1.78e-166
3670-2	chr1	42482283	42485951	+	0.000	0.000	1266.0	808.3	1.57	3.84e-50
3122	chr1	44445824	44448944	+	0.000	0.000	2093.0	456.2	4.59	0.00e+00
3764	chr1	44483422	44487184	+	0.000	0.000	3020.0	1189.0	2.54	0.00e+00
2024	chr1	44706524	44708546	+	0.000	0.000	1730.5	1114.8	1.55	2.74e-65
1979	chr1	45953373	45955350	+	0.000	0.000	711.5	473.7	1.50	2.09e-24
4257	chr1	48024018	48028273	+	0.000	0.000	2692.5	989.4	2.72	0.00e+00
2784	chr1	48035685	48038467	+	0.000	0.000	1831.0	746.6	2.45	6.24e-245
3314	chr1	48850989	48854301	+	0.000	0.000	1346.0	825.0	1.63	3.65e-62
4907	chr1	48874972	48879877	+	0.000	0.000	3019.5	1364.6	2.21	0.00e+00
2662	chr1	51313085	51315745	+	0.000	0.000	3493.5	2100.4	1.66	2.66e-169
1668	chr1	51330684	51332350	+	0.000	0.000	1070.0	694.2	1.54	4.82e-40
3237	chr1	51556839	51560074	+	0.000	0.000	1587.0	959.0	1.65	9.42e-77
3154	chr1	51734244	51737396	+	0.000	0.000	832.5	433.8	1.92	1.16e-64
2201	chr1	53145492	53147691	+	0.000	0.000	1101.5	651.0	1.69	4.31e-58
3316	chr1	53411398	53414712	+	0.000	0.000	2652.0	1139.1	2.33	7.38e-319
1981	chr1	53441436	53443415	+	0.000	0.000	890.0	456.2	1.95	3.21e-72
2353-2	chr1	53918511	53920862	+	0.000	0.000	958.5	550.2	1.74	7.18e-56
3069-2	chr1	55361974	55365041	+	0.000	0.000	1379.5	760.0	1.82	2.55e-90
2171	chr1	55579955	55582124	+	0.000	0.000	727.5	370.7	1.96	3.81e-60
2514	chr1	55588542	55591054	+	0.000	0.000	1195.5	511.8	2.34	8.79e-146
10292	chr1	55715523	55725813	+	0.000	0.000	7769.5	4666.2	1.67	0.00e+00
