# HOMER Differential Peaks
# Original Peak File = Turcan_K9_48_annotated_peaks_ip_32.txt
# Peak File Tag Directory = RG_IP
# Background Tag Directory = RC_IP
#
# Mode = Peaks enriched over background
# Differential peaks = 246
# Fraction of original peaks = 1.42%
# Original number of peaks = 17276
# Size of region used to count tags = given peak sizes (-fixed)
# Fold change cutoff = 1.50
# Poisson p-value cutoff = 1.00e-03
# strand = 2 (tags counted on 0=+strand, 1=-strand, 2=both strands)
# peak directory tagAdjust = 40
# background directory tagAdjust = 39
#
# cmd = getDifferentialPeaks Turcan_K9_48_annotated_peaks_ip_32.txt RG_IP RC_IP -F 1.5 -P 0.001
#
#PeakID	chr	start	end	strand	score	focus ratio/other	Total Tags	Background Tags	Fold Change vs. Background	p-value
5778	chr1	55661794	55667570	+	0.000	0.000	391.0	145.9	2.68	3.55e-63
24676	chr1	121732773	121757447	+	0.000	0.000	1394.0	915.5	1.52	5.72e-49
20499	chr1	121758160	121778657	+	0.000	0.000	1532.5	1017.2	1.51	3.86e-51
4880	chr1	121963868	121968746	+	0.000	0.000	197.5	125.8	1.57	2.72e-09
25275	chr1	122470869	122496142	+	0.000	0.000	498.5	330.9	1.51	7.72e-18
240287	chr1	122496734	122737019	+	0.000	0.000	17867.5	11334.1	1.58	0.00e+00
491262	chr1	122737721	123228981	+	0.000	0.000	32811.0	21183.6	1.55	0.00e+00
85474	chr1	123229542	123315014	+	0.000	0.000	4975.5	3155.0	1.58	3.76e-196
486472	chr1	123315590	123802060	+	0.000	0.000	30726.0	19635.4	1.56	0.00e+00
514268	chr1	123802740	124317006	+	0.000	0.000	31702.5	20491.5	1.55	0.00e+00
473665	chr1	124317721	124791384	+	0.000	0.000	32931.0	20971.1	1.57	0.00e+00
9988	chr1	124850992	124860978	+	0.000	0.000	215.5	139.6	1.54	2.00e-09
23460	chr3	91745390	91768848	+	0.000	0.000	794.5	510.7	1.56	2.89e-31
15970	chr3	91778350	91794318	+	0.000	0.000	569.0	372.7	1.53	2.40e-21
4705-4	chr3	91832182	91836885	+	0.000	0.000	179.0	116.2	1.54	4.06e-08
4702-2	chr3	92249515	92254215	+	0.000	0.000	196.5	120.6	1.63	1.90e-10
41435	chr3	92420017	92461450	+	0.000	0.000	1678.5	1115.6	1.50	1.68e-55
4680-3	chr3	92800339	92805017	+	0.000	0.000	155.5	102.0	1.52	6.57e-07
433-37	chr3	93470360	93470791	+	0.000	0.000	35195.0	8588.4	4.10	0.00e+00
116145	chr4	49051972	49168115	+	0.000	0.000	32807.0	20246.3	1.62	0.00e+00
28196	chr4	49629869	49658063	+	0.000	0.000	10991.0	7054.7	1.56	0.00e+00
4096-6	chr4	49708909	49713003	+	0.000	0.000	2248.0	640.3	3.51	0.00e+00
7092-4	chr4	97732970	97740060	+	0.000	0.000	139.0	92.6	1.50	4.10e-06
3887-8	chr4	190176291	190180176	+	0.000	0.000	821.0	449.0	1.83	7.49e-56
4961-4	chr5	46853091	46858050	+	0.000	0.000	138.5	91.2	1.52	2.99e-06
7650	chr5	47284894	47292542	+	0.000	0.000	224.0	146.6	1.53	1.82e-09
4444-6	chr5	47295897	47300339	+	0.000	0.000	186.0	111.5	1.67	7.64e-11
196251	chr5	47306250	47502499	+	0.000	0.000	14716.0	9543.2	1.54	0.00e+00
39900	chr5	47502987	47542885	+	0.000	0.000	2763.0	1807.6	1.53	1.26e-96
238891	chr5	47543398	47782287	+	0.000	0.000	16513.5	10653.9	1.55	0.00e+00
123072	chr5	47782854	47905924	+	0.000	0.000	7862.0	5059.2	1.55	1.40e-290
701507	chr5	47906501	48608006	+	0.000	0.000	43289.0	27995.3	1.55	0.00e+00
977656	chr5	48608646	49586300	+	0.000	0.000	63954.0	41161.1	1.55	0.00e+00
5515-4	chr5	49586926	49592439	+	0.000	0.000	336.5	212.2	1.59	2.89e-15
3726-11	chr5	49599408	49603132	+	0.000	0.000	8520.0	4599.6	1.85	0.00e+00
9095-2	chr5	49609853	49618946	+	0.000	0.000	306.5	195.5	1.57	1.71e-13
3113-13	chr5	49647399	49650510	+	0.000	0.000	138.0	90.9	1.52	2.57e-06
5513-4	chr5	49656317	49661828	+	0.000	0.000	17053.0	8967.1	1.90	0.00e+00
1255-22	chr5	49666175	49667428	+	0.000	0.000	2711.0	1496.1	1.81	9.09e-175
7211-3	chr5	49773545	49780754	+	0.000	0.000	194.5	125.5	1.55	9.02e-09
4739	chr8	43237617	43242354	+	0.000	0.000	2050.5	557.2	3.68	0.00e+00
18904	chr8	44413861	44432763	+	0.000	0.000	697.0	440.6	1.58	1.34e-29
