# HOMER Differential Peaks
# Original Peak File = Turcan_K9_1w_annotated_peaks_ip_32.txt
# Peak File Tag Directory = WC_IP
# Background Tag Directory = RC_IP
#
# Mode = Peaks enriched over background
# Differential peaks = 2660
# Fraction of original peaks = 13.05%
# Original number of peaks = 20381
# Size of region used to count tags = given peak sizes (-fixed)
# Fold change cutoff = 1.50
# Poisson p-value cutoff = 1.00e-03
# strand = 2 (tags counted on 0=+strand, 1=-strand, 2=both strands)
# peak directory tagAdjust = 65
# background directory tagAdjust = 50
#
# cmd = getDifferentialPeaks Turcan_K9_1w_annotated_peaks_ip_32.txt WC_IP RC_IP -F 1.5 -P 0.001
#
#PeakID	chr	start	end	strand	score	focus ratio/other	Total Tags	Background Tags	Fold Change vs. Background	p-value
7900	chr1	4815833	4823731	+	0.000	0.000	318.7	211.5	1.51	5.57e-12
8038	chr1	4988029	4996065	+	0.000	0.000	277.7	174.5	1.59	5.37e-13
41875	chr1	49021387	49063260	+	0.000	0.000	2147.9	326.5	6.58	0.00e+00
31988	chr1	49063622	49095608	+	0.000	0.000	1686.9	250.5	6.73	0.00e+00
20483	chr1	49096424	49116905	+	0.000	0.000	1256.3	278.0	4.52	0.00e+00
11921	chr1	49117812	49129731	+	0.000	0.000	628.6	200.0	3.14	1.49e-128
39100	chr1	49130853	49169951	+	0.000	0.000	2377.6	196.0	12.13	0.00e+00
88653	chr1	49170675	49259326	+	0.000	0.000	5176.6	827.5	6.26	0.00e+00
20422	chr1	49263230	49283650	+	0.000	0.000	1051.5	178.0	5.91	0.00e+00
222728	chr1	49287907	49510633	+	0.000	0.000	12724.0	1839.5	6.92	0.00e+00
50629	chr1	49510928	49561555	+	0.000	0.000	2883.1	561.0	5.14	0.00e+00
33167	chr1	49565065	49598230	+	0.000	0.000	1880.0	405.0	4.64	0.00e+00
143183	chr1	49598912	49742093	+	0.000	0.000	7981.0	1056.0	7.56	0.00e+00
89334	chr1	49742736	49832068	+	0.000	0.000	4919.0	504.5	9.75	0.00e+00
31024	chr1	49833660	49864682	+	0.000	0.000	1800.8	559.0	3.22	0.00e+00
36773	chr1	49882700	49919471	+	0.000	0.000	2150.8	274.5	7.84	0.00e+00
16623	chr1	49920366	49936987	+	0.000	0.000	887.2	253.5	3.50	8.29e-210
388052	chr1	49958407	50346457	+	0.000	0.000	34181.8	2540.0	13.46	0.00e+00
22491	chr1	50382212	50404701	+	0.000	0.000	1875.6	212.0	8.85	0.00e+00
296836	chr1	50405215	50702049	+	0.000	0.000	23022.5	2154.0	10.69	0.00e+00
30929	chr1	50705463	50736390	+	0.000	0.000	1677.1	215.0	7.80	0.00e+00
4547	chr1	50753127	50757672	+	0.000	0.000	276.2	173.0	1.60	3.50e-13
7787	chr1	51022104	51029889	+	0.000	0.000	326.0	152.0	2.15	1.43e-34
10452	chr1	51031430	51041880	+	0.000	0.000	493.7	193.5	2.55	2.00e-72
9057	chr1	51055642	51064697	+	0.000	0.000	456.6	177.0	2.58	1.74e-68
10200	chr1	57410307	57420505	+	0.000	0.000	436.0	132.5	3.29	5.20e-96
15517	chr1	57424551	57440066	+	0.000	0.000	685.3	171.0	4.01	4.89e-192
47544	chr1	57506251	57553793	+	0.000	0.000	2120.5	462.5	4.58	0.00e+00
10479	chr1	57569389	57579866	+	0.000	0.000	497.1	143.0	3.48	1.79e-117
18184	chr1	57606973	57625155	+	0.000	0.000	766.0	142.0	5.39	2.06e-291
12947	chr1	57639418	57652363	+	0.000	0.000	564.6	160.5	3.52	5.95e-135
41953	chr1	57652993	57694944	+	0.000	0.000	1817.9	451.0	4.03	0.00e+00
51624	chr1	57704246	57755868	+	0.000	0.000	2211.9	298.0	7.42	0.00e+00
33928	chr1	57783462	57817388	+	0.000	0.000	1672.7	637.5	2.62	2.07e-253
28006	chr1	57817919	57845923	+	0.000	0.000	1277.3	526.5	2.43	6.86e-168
