# HOMER Differential Peaks
# Original Peak File = Turcan_K271w_annotated_peaks_tss_32.txt
# Peak File Tag Directory = RC_IP
# Background Tag Directory = WC_IP
#
# Mode = Peaks enriched over background
# Differential peaks = 4872
# Fraction of original peaks = 19.17%
# Original number of peaks = 25418
# Size of region used to count tags = given peak sizes (-fixed)
# Fold change cutoff = 1.50
# Poisson p-value cutoff = 1.00e-03
# strand = 2 (tags counted on 0=+strand, 1=-strand, 2=both strands)
# peak directory tagAdjust = 59
# background directory tagAdjust = 44
#
# cmd = getDifferentialPeaks Turcan_K271w_annotated_peaks_tss_32.txt RC_IP WC_IP -F 1.5 -P 0.001
#
#PeakID	chr	start	end	strand	score	focus ratio/other	Total Tags	Background Tags	Fold Change vs. Background	p-value
NR_145806	chr1	1303812	1305812	-	0.000	0.000	404.8	255.5	1.58	6.73e-18
NR_015434	chr1	1398530	1400530	+	0.000	0.000	386.7	253.5	1.53	6.65e-15
NM_181864	chr1	6384768	6386768	-	0.000	0.000	771.8	436.0	1.77	1.35e-47
NM_012102	chr1	8816640	8818640	-	0.000	0.000	526.3	317.0	1.66	5.30e-27
NM_001042681	chr1	8816640	8818640	-	0.000	0.000	526.7	317.0	1.66	5.30e-27
NM_001353346	chr1	8877686	8879686	-	0.000	0.000	1913.6	1184.5	1.62	3.26e-84
NM_001428	chr1	8877686	8879686	-	0.000	0.000	1913.6	1184.5	1.62	3.26e-84
NM_001201483	chr1	8877686	8879686	-	0.000	0.000	1914.6	1184.5	1.62	2.02e-84
NR_038351	chr1	8877835	8879835	+	0.000	0.000	2103.9	1271.0	1.66	5.78e-101
NR_132738	chr1	9181204	9183204	+	0.000	0.000	1177.2	556.0	2.12	4.88e-116
NR_132742	chr1	9181338	9183338	-	0.000	0.000	1162.6	539.5	2.15	3.10e-119
NM_025106	chr1	9291894	9293894	+	0.000	0.000	444.3	274.5	1.62	3.79e-21
NR_135061	chr1	11098675	11100675	+	0.000	0.000	524.6	331.5	1.58	1.20e-22
NR_135062	chr1	11098675	11100675	+	0.000	0.000	524.6	331.0	1.58	8.92e-23
NM_002685	chr1	11098869	11100869	-	0.000	0.000	504.2	303.0	1.66	3.64e-26
NM_001001998	chr1	11098869	11100869	-	0.000	0.000	504.2	302.5	1.67	2.60e-26
NR_135063	chr1	11099019	11101019	+	0.000	0.000	488.9	283.5	1.72	2.20e-28
NM_032341	chr1	15616458	15618458	+	0.000	0.000	773.8	440.0	1.76	9.27e-47
NM_015164	chr1	15683320	15685320	+	0.000	0.000	1177.6	746.0	1.58	3.90e-48
NR_027504	chr1	16644574	16646574	+	0.000	0.000	387.8	255.5	1.52	1.25e-14
NM_018715	chr1	17438677	17440677	-	0.000	0.000	480.4	295.5	1.63	4.69e-23
NM_001206540	chr1	19484539	19486539	-	0.000	0.000	481.0	255.0	1.89	1.48e-36
NM_001206541	chr1	19484539	19486539	-	0.000	0.000	481.0	255.0	1.89	1.48e-36
