# HOMER Differential Peaks
# Original Peak File = Turcan_K27_annotated_peaks_ip_32.txt
# Peak File Tag Directory = WC_IP
# Background Tag Directory = WG_IP
#
# Mode = Peaks enriched over background
# Differential peaks = 391
# Fraction of original peaks = 1.53%
# Original number of peaks = 25578
# Size of region used to count tags = given peak sizes (-fixed)
# Fold change cutoff = 1.50
# Poisson p-value cutoff = 1.00e-03
# strand = 2 (tags counted on 0=+strand, 1=-strand, 2=both strands)
# peak directory tagAdjust = 44
# background directory tagAdjust = 44
#
# cmd = getDifferentialPeaks Turcan_K27_annotated_peaks_ip_32.txt WC_IP WG_IP -F 1.5 -P 0.001
#
#PeakID	chr	start	end	strand	score	focus ratio/other	Total Tags	Background Tags	Fold Change vs. Background	p-value
943	chr1	1692369	1693310	+	0.000	0.000	360.0	237.0	1.52	6.94e-14
1959	chr1	2212160	2214117	+	0.000	0.000	570.3	361.0	1.58	2.25e-24
2518	chr1	2289741	2292257	+	0.000	0.000	744.5	457.0	1.63	5.58e-35
1835	chr1	7548821	7550654	+	0.000	0.000	555.4	328.0	1.69	2.67e-30
1761	chr1	7770557	7772316	+	0.000	0.000	333.3	218.0	1.53	2.95e-13
5029	chr1	16143264	16148291	+	0.000	0.000	2649.1	1684.0	1.57	1.81e-104
6484	chr1	16172497	16178979	+	0.000	0.000	1891.9	1194.5	1.58	4.14e-77
4214	chr1	16179981	16184193	+	0.000	0.000	1513.9	980.5	1.54	4.88e-56
1482	chr1	16236626	16238106	+	0.000	0.000	334.3	211.0	1.58	3.67e-15
2048	chr1	22052056	22054102	+	0.000	0.000	508.7	335.0	1.52	9.73e-19
2920	chr1	23789031	23791949	+	0.000	0.000	650.7	407.5	1.60	1.33e-28
2527-2	chr1	25197393	25199918	+	0.000	0.000	691.6	456.0	1.52	9.35e-25
5877	chr1	29567648	29573523	+	0.000	0.000	1398.8	920.0	1.52	1.10e-48
5149	chr1	29589276	29594423	+	0.000	0.000	1971.5	1186.0	1.66	2.93e-96
2402	chr1	36171975	36174375	+	0.000	0.000	477.7	304.0	1.57	3.22e-20
1997	chr1	37553007	37555002	+	0.000	0.000	485.2	311.5	1.56	6.20e-20
1875	chr1	37858561	37860434	+	0.000	0.000	452.3	297.5	1.52	5.32e-17
2081	chr1	54850042	54852121	+	0.000	0.000	575.5	372.0	1.55	1.21e-22
2559-2	chr1	54855444	54858001	+	0.000	0.000	565.4	330.5	1.71	7.43e-32
2806	chr1	68197403	68200207	+	0.000	0.000	373.6	249.0	1.50	1.49e-13
2446-2	chr1	113929827	113932271	+	0.000	0.000	918.4	571.0	1.61	8.76e-41
1906	chr1	148333905	148335809	+	0.000	0.000	585.4	364.0	1.61	1.19e-26
2823-2	chr1	163874839	163877660	+	0.000	0.000	406.3	251.5	1.62	2.33e-19
3016-2	chr1	167865171	167868185	+	0.000	0.000	385.5	256.5	1.50	4.80e-14
2260-2	chr1	171780141	171782399	+	0.000	0.000	499.3	330.5	1.51	4.09e-18
1637-4	chr1	181103681	181105316	+	0.000	0.000	297.5	193.5	1.54	3.16e-12
2410	chr1	184753825	184756233	+	0.000	0.000	316.5	205.5	1.54	5.46e-13
1839-2	chr1	203006320	203008157	+	0.000	0.000	346.7	223.5	1.55	2.03e-14
2031-2	chr1	205812070	205814099	+	0.000	0.000	319.9	210.0	1.52	1.68e-12
2313-2	chr1	212558410	212560721	+	0.000	0.000	649.3	412.5	1.57	4.02e-27
2674-2	chr1	230458073	230460745	+	0.000	0.000	408.3	232.0	1.76	1.16e-25
7543	chr2	6556685	6564226	+	0.000	0.000	1475.9	811.0	1.82	3.73e-97
8430	chr2	6570505	6578933	+	0.000	0.000	1437.5	891.5	1.61	2.56e-63
1564-2	chr2	10689187	10690749	+	0.000	0.000	510.7	338.5	1.51	2.58e-18
2217	chr2	11696505	11698720	+	0.000	0.000	415.3	236.5	1.76	6.71e-26
2066	chr2	26757273	26759337	+	0.000	0.000	433.8	289.0	1.50	1.83e-15
1264-2	chr2	30146845	30148107	+	0.000	0.000	412.1	264.0	1.56	2.35e-17
1762-3	chr2	32277181	32278941	+	0.000	0.000	364.8	243.0	1.50	2.89e-13
2205-2	chr2	46408084	46410287	+	0.000	0.000	600.3	324.5	1.85	1.08e-42
3444	chr2	47070123	47073565	+	0.000	0.000	1555.7	917.0	1.70	6.52e-82
2381-4	chr2	68907328	68909707	+	0.000	0.000	554.6	275.0	2.02	1.51e-49
3236-3	chr2	69944827	69948061	+	0.000	0.000	657.9	433.5	1.52	1.21e-23
2307	chr2	70606238	70608543	+	0.000	0.000	401.5	255.5	1.57	2.67e-17
6373	chr2	101122567	101128938	+	0.000	0.000	1606.4	1041.0	1.54	2.66e-59
2972	chr2	127769892	127772862	+	0.000	0.000	519.5	340.0	1.53	1.27e-19
3193	chr2	136245160	136248351	+	0.000	0.000	514.7	302.5	1.70	1.38e-28
9747	chr2	168207440	168217185	+	0.000	0.000	1771.2	1168.5	1.52	1.91e-60
2018-5	chr2	169693509	169695525	+	0.000	0.000	737.9	487.0	1.52	3.91e-26
2574-3	chr2	171762381	171764953	+	0.000	0.000	354.4	228.5	1.55	9.40e-15
2794-4	chr2	176445304	176448096	+	0.000	0.000	557.7	369.0	1.51	5.43e-20
1950-5	chr2	177552025	177553973	+	0.000	0.000	761.3	505.5	1.51	2.46e-26
1725-3	chr2	202237488	202239211	+	0.000	0.000	377.1	246.0	1.53	5.76e-15
1875-4	chr2	218908330	218910203	+	0.000	0.000	495.7	304.0	1.63	6.41e-24
2786	chr2	225025494	225028278	+	0.000	0.000	548.4	358.5	1.53	9.90e-21
1923	chr2	226835522	226837443	+	0.000	0.000	454.9	284.5	1.60	1.44e-20
2290-3	chr2	231603569	231605857	+	0.000	0.000	837.0	541.5	1.55	4.20e-32
4933	chr2	232852693	232857624	+	0.000	0.000	830.9	509.0	1.63	5.03e-39
5042	chr2	238285090	238290130	+	0.000	0.000	2001.7	1049.0	1.91	3.14e-150
