# HOMER Differential Peaks
# Original Peak File = Turcan_K9_48_annotated_peaks_ip_32.txt
# Peak File Tag Directory = RC_IP
# Background Tag Directory = RG_IP
#
# Mode = Peaks enriched over background
# Differential peaks = 46
# Fraction of original peaks = 0.27%
# Original number of peaks = 17276
# Size of region used to count tags = given peak sizes (-fixed)
# Fold change cutoff = 1.50
# Poisson p-value cutoff = 1.00e-03
# strand = 2 (tags counted on 0=+strand, 1=-strand, 2=both strands)
# peak directory tagAdjust = 39
# background directory tagAdjust = 40
#
# cmd = getDifferentialPeaks Turcan_K9_48_annotated_peaks_ip_32.txt RC_IP RG_IP -F 1.5 -P 0.001
#
#PeakID	chr	start	end	strand	score	focus ratio/other	Total Tags	Background Tags	Fold Change vs. Background	p-value
5843	chr1	15306533	15312374	+	0.000	0.000	297.5	178.0	1.67	2.53e-16
5940	chr1	33414590	33420528	+	0.000	0.000	176.1	93.5	1.88	1.92e-14
5215	chr1	55338585	55343798	+	0.000	0.000	180.0	112.0	1.61	3.45e-09
5705	chr1	113717554	113723257	+	0.000	0.000	160.3	104.0	1.54	2.13e-07
4600-2	chr1	228090973	228095571	+	0.000	0.000	181.4	111.0	1.63	6.91e-10
6959	chr2	26077667	26084624	+	0.000	0.000	203.3	133.0	1.53	1.05e-08
7099-2	chr2	48346105	48353202	+	0.000	0.000	218.0	135.0	1.61	5.37e-11
5685-2	chr2	197523351	197529034	+	0.000	0.000	163.0	102.0	1.60	2.66e-08
6462-4	chr2	233422141	233428601	+	0.000	0.000	260.0	165.5	1.57	1.15e-11
6154	chr2	237488748	237494900	+	0.000	0.000	239.8	158.0	1.52	1.23e-09
6170-7	chr3	11797742	11803910	+	0.000	0.000	251.6	167.0	1.51	8.53e-10
5478-2	chr3	81754212	81759688	+	0.000	0.000	166.6	102.0	1.63	3.79e-09
6546-3	chr3	120315772	120322316	+	0.000	0.000	170.0	113.0	1.50	3.53e-07
8342	chr3	136821678	136830018	+	0.000	0.000	220.0	145.0	1.52	6.47e-09
4277-7	chr4	15618621	15622896	+	0.000	0.000	141.3	90.0	1.57	4.09e-07
6477-3	chr5	37743512	37749987	+	0.000	0.000	167.9	111.5	1.51	5.73e-07
7131	chr5	78381766	78388895	+	0.000	0.000	182.5	105.0	1.74	6.33e-12
7334-5	chr6	163501506	163508838	+	0.000	0.000	230.0	142.5	1.61	1.03e-11
14022-2	chr6	165958943	165972963	+	0.000	0.000	181.1	119.0	1.52	7.68e-08
3021-19	chr7	151666287	151669306	+	0.000	0.000	207.9	128.5	1.62	1.21e-10
5465-7	chr7	155192745	155198208	+	0.000	0.000	235.0	147.5	1.59	3.22e-11
8522	chr8	17225276	17233796	+	0.000	0.000	207.4	136.5	1.52	1.21e-08
5789-5	chr8	48383463	48389250	+	0.000	0.000	185.5	120.0	1.55	2.30e-08
4880-5	chr8	106038291	106043169	+	0.000	0.000	130.3	86.5	1.51	7.81e-06
6113-3	chr10	78241042	78247153	+	0.000	0.000	178.8	110.0	1.63	1.62e-09
5685	chr10	133408052	133413735	+	0.000	0.000	189.5	102.5	1.85	1.37e-14
4210	chr11	67293723	67297931	+	0.000	0.000	198.8	129.0	1.54	1.05e-08
5247	chr12	45360323	45365568	+	0.000	0.000	146.5	94.5	1.55	5.50e-07
5053-2	chr14	65085570	65090621	+	0.000	0.000	201.2	127.0	1.58	8.58e-10
12170	chr15	32929750	32941918	+	0.000	0.000	281.2	183.0	1.54	1.12e-11
2473-6	chr16	11439731	11442202	+	0.000	0.000	152.7	99.0	1.54	4.65e-07
4093-7	chr16	75019121	75023212	+	0.000	0.000	161.4	107.5	1.50	8.98e-07
3592-3	chr16	82165491	82169081	+	0.000	0.000	149.3	99.0	1.51	1.71e-06
6766	chr16	82922316	82929080	+	0.000	0.000	195.2	130.0	1.50	6.48e-08
4382-5	chr16	83513965	83518345	+	0.000	0.000	174.0	112.5	1.55	7.38e-08
4517-3	chr18	7597192	7601707	+	0.000	0.000	138.8	92.0	1.51	4.65e-06
6906-2	chr18	35242734	35249638	+	0.000	0.000	260.1	154.0	1.69	4.73e-15
4396-4	chr19	13474838	13479232	+	0.000	0.000	174.0	110.0	1.58	1.77e-08
3930-2	chr19	13543663	13547591	+	0.000	0.000	156.6	90.5	1.73	2.68e-10
4914-3	chr19	19464727	19469639	+	0.000	0.000	217.1	139.0	1.56	5.82e-10
4433-7	chr19	38177586	38182017	+	0.000	0.000	157.3	102.0	1.54	2.66e-07
7969-4	chr19	39982324	39990291	+	0.000	0.000	301.9	196.5	1.54	2.82e-12
9655	chr19	57286429	57296082	+	0.000	0.000	347.3	226.5	1.53	6.77e-14
3543-8	chr20	34480985	34484526	+	0.000	0.000	160.6	99.5	1.61	1.50e-08
5850-3	chr21	32343310	32349158	+	0.000	0.000	250.8	165.5	1.52	5.97e-10
30116	chrX	145853814	145883928	+	0.000	0.000	161.9	105.0	1.54	2.37e-07
