# HOMER Differential Peaks
# Original Peak File = Turcan_K9_48_annotated_peaks_ip_32.txt
# Peak File Tag Directory = WC_IP
# Background Tag Directory = WG_IP
#
# Mode = Peaks enriched over background
# Differential peaks = 50
# Fraction of original peaks = 0.29%
# Original number of peaks = 17276
# Size of region used to count tags = given peak sizes (-fixed)
# Fold change cutoff = 1.50
# Poisson p-value cutoff = 1.00e-03
# strand = 2 (tags counted on 0=+strand, 1=-strand, 2=both strands)
# peak directory tagAdjust = 45
# background directory tagAdjust = 39
#
# cmd = getDifferentialPeaks Turcan_K9_48_annotated_peaks_ip_32.txt WC_IP WG_IP -F 1.5 -P 0.001
#
#PeakID	chr	start	end	strand	score	focus ratio/other	Total Tags	Background Tags	Fold Change vs. Background	p-value
13396	chr1	3380175	3393569	+	0.000	0.000	474.0	303.7	1.56	1.05e-19
20803	chr1	3510106	3530907	+	0.000	0.000	310.5	190.2	1.63	1.06e-15
4480	chr2	563584	568062	+	0.000	0.000	197.5	125.6	1.57	2.37e-09
3789-4	chr2	3141191	3144978	+	0.000	0.000	195.5	129.0	1.52	3.80e-08
433-37	chr3	93470360	93470791	+	0.000	0.000	30875.5	14441.7	2.14	0.00e+00
15657	chr4	1398512	1414167	+	0.000	0.000	805.0	508.5	1.58	5.41e-34
4017-8	chr4	131748583	131752598	+	0.000	0.000	278.5	168.3	1.65	6.75e-15
6115-5	chr5	1851634	1857747	+	0.000	0.000	284.5	183.4	1.55	3.70e-12
6453-6	chr5	1874454	1880905	+	0.000	0.000	330.0	219.3	1.50	2.11e-12
3726-11	chr5	49599408	49603132	+	0.000	0.000	9805.0	5654.1	1.73	0.00e+00
5513-4	chr5	49656317	49661828	+	0.000	0.000	18466.0	10975.8	1.68	0.00e+00
1255-22	chr5	49666175	49667428	+	0.000	0.000	3005.0	1842.5	1.63	5.72e-136
4865-3	chr5	171308480	171313343	+	0.000	0.000	196.0	124.5	1.57	2.06e-09
4289-6	chr7	258593	262880	+	0.000	0.000	281.5	175.2	1.61	1.25e-13
9803-2	chr7	6645967	6655768	+	0.000	0.000	428.0	269.6	1.59	3.96e-19
5281-6	chr7	55739200	55744479	+	0.000	0.000	161.0	107.1	1.50	7.23e-07
4735-6	chr7	56370393	56375126	+	0.000	0.000	1551.0	977.1	1.59	2.79e-64
3310-10	chr8	57202994	57206302	+	0.000	0.000	531.0	347.2	1.53	3.40e-20
7183-2	chr8	139748593	139755774	+	0.000	0.000	469.5	308.6	1.52	1.39e-17
5534-2	chr9	134458884	134464416	+	0.000	0.000	304.5	183.7	1.66	3.14e-16
3910-11	chr9	134681326	134685234	+	0.000	0.000	196.0	124.6	1.57	2.19e-09
12516-2	chr9	134686064	134698578	+	0.000	0.000	521.0	343.5	1.52	3.53e-19
7018-4	chr9	134795971	134802987	+	0.000	0.000	277.0	171.1	1.62	6.70e-14
9000-2	chr9	137494173	137503171	+	0.000	0.000	250.5	166.0	1.51	7.91e-10
6159	chr10	11427356	11433513	+	0.000	0.000	238.5	153.0	1.56	1.27e-10
4176-3	chr10	133686237	133690411	+	0.000	0.000	1092.5	721.7	1.51	8.93e-38
5827	chr11	1249683	1255508	+	0.000	0.000	227.0	151.0	1.50	4.96e-09
5676-3	chr12	132236319	132241993	+	0.000	0.000	243.0	161.1	1.51	1.14e-09
8704	chr12	132392632	132401334	+	0.000	0.000	519.0	333.4	1.56	3.50e-21
14182	chr17	491268	505448	+	0.000	0.000	160.5	106.8	1.50	9.38e-07
1843-6	chr17	23015178	23017019	+	0.000	0.000	673.5	372.3	1.81	1.17e-44
319-40	chr17	25920057	25920374	+	0.000	0.000	646.0	407.6	1.59	8.99e-28
1603-12	chr17	26603057	26604658	+	0.000	0.000	2264.5	1416.8	1.60	2.59e-95
5202-3	chr17	26880775	26885975	+	0.000	0.000	4686.0	3046.3	1.54	8.01e-167
6244	chr18	106087	112329	+	0.000	0.000	2308.5	1535.7	1.50	2.76e-75
10515	chr18	79483681	79494194	+	0.000	0.000	627.5	390.4	1.61	2.36e-28
4828-4	chr19	3779862	3784688	+	0.000	0.000	278.5	166.7	1.67	2.24e-15
3756-6	chr20	40909565	40913319	+	0.000	0.000	194.0	124.7	1.56	5.81e-09
3633-5	chr20	61794127	61797758	+	0.000	0.000	211.0	133.8	1.58	4.56e-10
5659-6	chr21	10118617	10124274	+	0.000	0.000	214.5	139.8	1.53	3.49e-09
3709-5	chr21	46006460	46010167	+	0.000	0.000	227.0	135.9	1.67	6.26e-13
3785-11	chrY	10957824	10961607	+	0.000	0.000	420.0	268.7	1.56	9.11e-18
12119	chrY	11322394	11334511	+	0.000	0.000	2690.5	1777.9	1.51	4.98e-90
1455-23	chrY	11721929	11723382	+	0.000	0.000	185.5	111.9	1.66	1.68e-10
7297	chr14_GL000225v1_random	64166	71461	+	0.000	0.000	3288.5	2087.4	1.58	7.64e-130
16414	chr14_GL000225v1_random	72265	88677	+	0.000	0.000	4989.5	3305.3	1.51	2.55e-163
2460-6	chr14_GL000225v1_random	100893	103351	+	0.000	0.000	587.0	369.0	1.59	9.69e-26
1092-17	chr22_KI270733v1_random	168102	169192	+	0.000	0.000	321.0	190.5	1.68	4.69e-18
6835-5	chrUn_KI270438v1	100342	107175	+	0.000	0.000	15917.5	9177.6	1.73	0.00e+00
3879-16	chrUn_KI270438v1	108563	112440	+	0.000	0.000	21883.0	11065.8	1.98	0.00e+00
