# HOMER Differential Peaks
# Original Peak File = Turcan_CTCF_annotated_peaks_ip_32.txt
# Peak File Tag Directory = WC_IP
# Background Tag Directory = WG_IP
#
# Mode = Peaks enriched over background
# Differential peaks = 3957
# Fraction of original peaks = 22.18%
# Original number of peaks = 17843
# Size of region used to count tags = given peak sizes (-fixed)
# Fold change cutoff = 1.50
# Poisson p-value cutoff = 1.00e-03
# strand = 2 (tags counted on 0=+strand, 1=-strand, 2=both strands)
# peak directory tagAdjust = 44
# background directory tagAdjust = 60
#
# cmd = getDifferentialPeaks Turcan_CTCF_annotated_peaks_ip_32.txt WC_IP WG_IP -F 1.5 -P 0.001
#
#PeakID	chr	start	end	strand	score	focus ratio/other	Total Tags	Background Tags	Fold Change vs. Background	p-value
1354	chr1	1371527	1372879	+	0.000	0.000	73.0	36.2	2.02	4.88e-08
1381	chr1	1440601	1441980	+	0.000	0.000	61.0	37.6	1.62	2.71e-04
1542	chr1	2381473	2383013	+	0.000	0.000	70.5	38.5	1.83	3.27e-06
2046	chr1	2546830	2548874	+	0.000	0.000	64.0	36.1	1.77	1.72e-05
771	chr1	3724393	3725162	+	0.000	0.000	36.0	19.2	1.88	3.79e-04
826	chr1	6343176	6344000	+	0.000	0.000	47.0	23.5	2.00	1.31e-05
749	chr1	6414098	6414845	+	0.000	0.000	31.0	16.2	1.92	6.77e-04
1171	chr1	6701296	6702465	+	0.000	0.000	44.0	22.6	1.95	4.31e-05
1642	chr1	6719153	6720793	+	0.000	0.000	107.0	58.4	1.83	7.71e-09
1480	chr1	6726824	6728302	+	0.000	0.000	81.0	51.0	1.59	6.31e-05
777	chr1	7207638	7208413	+	0.000	0.000	49.0	30.1	1.63	9.68e-04
1362	chr1	8848451	8849811	+	0.000	0.000	77.0	47.5	1.62	5.20e-05
1236	chr1	8962546	8963780	+	0.000	0.000	65.5	29.6	2.21	1.26e-08
1500	chr1	8987532	8989030	+	0.000	0.000	107.0	58.0	1.84	5.60e-09
1224	chr1	9004864	9006086	+	0.000	0.000	73.5	48.6	1.51	6.64e-04
2210	chr1	9490229	9492437	+	0.000	0.000	79.5	50.8	1.57	1.47e-04
1603	chr1	9949606	9951207	+	0.000	0.000	68.0	41.4	1.64	9.16e-05
3253	chr1	10427666	10430917	+	0.000	0.000	172.0	96.4	1.78	2.67e-12
1540	chr1	10506524	10508062	+	0.000	0.000	71.0	45.8	1.55	3.44e-04
1976-2	chr1	11641884	11643858	+	0.000	0.000	98.0	56.8	1.72	4.49e-07
1281-2	chr1	11645070	11646349	+	0.000	0.000	87.5	45.8	1.91	4.10e-08
907	chr1	11710854	11711759	+	0.000	0.000	42.0	24.1	1.74	5.87e-04
1587	chr1	12118277	12119862	+	0.000	0.000	78.0	50.3	1.55	1.78e-04
1479-2	chr1	13422174	13423651	+	0.000	0.000	60.0	38.2	1.57	6.75e-04
757	chr1	14094765	14095520	+	0.000	0.000	29.5	14.7	2.01	6.30e-04
1277	chr1	15045979	15047254	+	0.000	0.000	77.0	44.0	1.75	4.19e-06
1256	chr1	15099828	15101082	+	0.000	0.000	69.0	39.9	1.73	1.82e-05
1896	chr1	15272073	15273967	+	0.000	0.000	71.0	44.6	1.59	1.66e-04
1400-2	chr1	15304267	15305665	+	0.000	0.000	87.5	57.1	1.53	1.40e-04
1641	chr1	15430350	15431989	+	0.000	0.000	57.0	36.2	1.58	8.28e-04
823	chr1	16032655	16033476	+	0.000	0.000	72.5	35.2	2.06	3.43e-08
844	chr1	16055882	16056724	+	0.000	0.000	73.5	31.9	2.30	3.25e-10
1092-2	chr1	16078566	16079656	+	0.000	0.000	61.0	36.7	1.66	1.54e-04
1062	chr1	16082000	16083060	+	0.000	0.000	108.0	53.6	2.02	4.20e-11
1221	chr1	16243860	16245079	+	0.000	0.000	58.0	30.6	1.90	6.59e-06
1402	chr1	16591396	16592796	+	0.000	0.000	34.0	18.1	1.88	5.60e-04
1332	chr1	17059280	17060610	+	0.000	0.000	61.5	36.3	1.70	1.11e-04
1726	chr1	17419218	17420942	+	0.000	0.000	65.0	39.1	1.66	9.10e-05
1187	chr1	17502049	17503234	+	0.000	0.000	86.0	53.5	1.61	2.60e-05
1199	chr1	17825701	17826898	+	0.000	0.000	45.0	25.8	1.75	3.72e-04
639	chr1	17984369	17985006	+	0.000	0.000	43.5	24.5	1.78	4.35e-04
1138	chr1	18581170	18582306	+	0.000	0.000	43.5	21.9	1.99	4.14e-05
955-2	chr1	18681117	18682070	+	0.000	0.000	58.0	32.0	1.81	2.27e-05
1609	chr1	18883614	18885221	+	0.000	0.000	55.0	33.8	1.62	5.11e-04
1167	chr1	19240761	19241926	+	0.000	0.000	75.0	41.1	1.82	1.34e-06
1123	chr1	19581870	19582991	+	0.000	0.000	80.0	45.6	1.76	2.50e-06
1468	chr1	19653159	19654625	+	0.000	0.000	75.0	46.7	1.61	8.30e-05
1053-2	chr1	19974471	19975522	+	0.000	0.000	80.0	35.3	2.26	7.99e-11
1487	chr1	20212499	20213984	+	0.000	0.000	49.5	29.2	1.70	5.07e-04
1176	chr1	20232863	20234037	+	0.000	0.000	42.0	23.7	1.77	4.35e-04
1514	chr1	20361435	20362947	+	0.000	0.000	79.0	45.8	1.73	5.14e-06
1759	chr1	21269297	21271054	+	0.000	0.000	107.0	48.0	2.23	1.59e-13
2585	chr1	21962648	21965231	+	0.000	0.000	83.5	53.4	1.56	1.04e-04
1150	chr1	22275688	22276836	+	0.000	0.000	48.5	24.5	1.98	1.66e-05
1230-2	chr1	22416191	22417419	+	0.000	0.000	80.0	44.5	1.80	1.10e-06
1436	chr1	22641799	22643233	+	0.000	0.000	65.5	36.5	1.80	1.27e-05
1355	chr1	22963842	22965195	+	0.000	0.000	72.5	43.2	1.68	3.95e-05
1861	chr1	23496596	23498455	+	0.000	0.000	97.0	62.3	1.56	2.84e-05
1178-2	chr1	23916522	23917698	+	0.000	0.000	62.5	35.6	1.75	3.87e-05
885	chr1	24112231	24113114	+	0.000	0.000	54.0	33.7	1.60	7.56e-04
2216	chr1	24149586	24151800	+	0.000	0.000	62.0	40.5	1.53	9.82e-04
2137	chr1	24830038	24832173	+	0.000	0.000	100.0	66.0	1.51	5.94e-05
1559	chr1	25101008	25102565	+	0.000	0.000	100.0	60.8	1.64	2.58e-06
1139	chr1	25148271	25149408	+	0.000	0.000	63.0	34.5	1.83	8.52e-06
1097-2	chr1	26169331	26170426	+	0.000	0.000	45.5	25.4	1.79	2.76e-04
2052	chr1	26416176	26418226	+	0.000	0.000	101.5	55.6	1.83	2.96e-08
976-2	chr1	26677264	26678238	+	0.000	0.000	46.5	23.1	2.02	1.67e-05
1808	chr1	27283883	27285689	+	0.000	0.000	117.5	67.6	1.74	3.25e-08
1633	chr1	27300046	27301677	+	0.000	0.000	80.0	42.6	1.88	2.05e-07
1387-2	chr1	27332302	27333687	+	0.000	0.000	67.0	41.3	1.62	1.45e-04
837	chr1	27357350	27358185	+	0.000	0.000	38.0	21.1	1.80	5.88e-04
1511	chr1	27608047	27609556	+	0.000	0.000	58.0	33.8	1.71	1.00e-04
1206-2	chr1	27857486	27858690	+	0.000	0.000	76.0	44.5	1.71	1.13e-05
1384	chr1	28090506	28091888	+	0.000	0.000	129.5	69.9	1.85	1.68e-10
646	chr1	28471265	28471909	+	0.000	0.000	25.0	11.5	2.17	3.92e-04
1458	chr1	28876456	28877912	+	0.000	0.000	111.0	60.0	1.85	2.46e-09
2174	chr1	29033393	29035565	+	0.000	0.000	91.0	50.6	1.80	2.03e-07
1721	chr1	29340573	29342292	+	0.000	0.000	64.0	39.8	1.61	2.52e-04
738	chr1	31185494	31186230	+	0.000	0.000	49.0	28.7	1.71	3.60e-04
1037	chr1	31563596	31564631	+	0.000	0.000	61.5	38.1	1.61	3.90e-04
746	chr1	31745418	31746162	+	0.000	0.000	43.0	22.9	1.88	1.11e-04
1596	chr1	31963249	31964843	+	0.000	0.000	138.0	72.3	1.91	4.16e-12
1098-2	chr1	32062966	32064062	+	0.000	0.000	44.0	25.5	1.73	5.39e-04
