# HOMER Differential Peaks
# Original Peak File = Turcan_K271w_annotated_peaks_tss_32.txt
# Peak File Tag Directory = WC_IP
# Background Tag Directory = RC_IP
#
# Mode = Peaks enriched over background
# Differential peaks = 439
# Fraction of original peaks = 1.73%
# Original number of peaks = 25418
# Size of region used to count tags = given peak sizes (-fixed)
# Fold change cutoff = 1.50
# Poisson p-value cutoff = 1.00e-03
# strand = 2 (tags counted on 0=+strand, 1=-strand, 2=both strands)
# peak directory tagAdjust = 44
# background directory tagAdjust = 59
#
# cmd = getDifferentialPeaks Turcan_K271w_annotated_peaks_tss_32.txt WC_IP RC_IP -F 1.5 -P 0.001
#
#PeakID	chr	start	end	strand	score	focus ratio/other	Total Tags	Background Tags	Fold Change vs. Background	p-value
NM_001319225	chr1	12615789	12617789	-	0.000	0.000	665.5	380.3	1.75	6.25e-40
NM_001322854	chr1	24412487	24414487	+	0.000	0.000	700.0	380.9	1.84	1.31e-48
NM_178122	chr1	24412772	24414772	-	0.000	0.000	533.0	340.4	1.57	3.42e-22
NM_001199014	chr1	24412772	24414772	-	0.000	0.000	533.0	340.4	1.57	3.42e-22
NM_001199013	chr1	24412782	24414782	-	0.000	0.000	529.0	338.4	1.56	6.51e-22
NM_001856	chr1	31703017	31705017	-	0.000	0.000	801.5	369.7	2.17	5.91e-84
NM_001355224	chr1	42462286	42464286	+	0.000	0.000	368.5	243.4	1.51	6.78e-14
NM_001355227	chr1	42462286	42464286	+	0.000	0.000	368.5	243.8	1.51	8.09e-14
NM_001291880	chr1	112465541	112467541	+	0.000	0.000	559.5	311.8	1.79	1.67e-36
NM_004185	chr1	112465541	112467541	+	0.000	0.000	559.5	311.2	1.80	9.71e-37
NR_030640	chr1	117093643	117095643	+	0.000	0.000	2045.0	1183.7	1.73	6.11e-114
NR_147182	chr1	145925831	145927831	+	0.000	0.000	762.0	453.8	1.68	7.61e-40
NM_005105	chr1	145926536	145928536	-	0.000	0.000	982.5	634.9	1.55	2.01e-37
NR_121645	chr1	147083756	147085756	-	0.000	0.000	496.5	268.9	1.85	2.25e-35
NM_003528	chr1	149885682	149887682	-	0.000	0.000	1313.0	733.6	1.79	1.27e-82
NM_003517	chr1	149885975	149887975	+	0.000	0.000	1315.0	750.3	1.75	1.61e-77
NM_175065	chr1	149886916	149888916	-	0.000	0.000	1336.0	880.7	1.52	2.83e-46
NM_020205	chr1	150009726	150011726	-	0.000	0.000	704.5	419.1	1.68	5.14e-37
NM_207047	chr1	150628133	150630133	-	0.000	0.000	639.0	370.4	1.73	7.71e-37
NM_207045	chr1	150628139	150630139	-	0.000	0.000	640.0	371.8	1.72	1.20e-36
NM_207046	chr1	150628139	150630139	-	0.000	0.000	640.0	371.8	1.72	1.20e-36
NM_207042	chr1	150628612	150630612	-	0.000	0.000	971.5	609.7	1.59	1.61e-41
NM_004436	chr1	150628612	150630612	-	0.000	0.000	972.0	609.7	1.59	1.01e-41
NM_207043	chr1	150628622	150630622	-	0.000	0.000	973.5	612.4	1.59	3.19e-41
NM_207044	chr1	150628622	150630622	-	0.000	0.000	973.5	612.4	1.59	3.19e-41
NM_207168	chr1	150628622	150630622	-	0.000	0.000	973.5	612.4	1.59	3.19e-41
NM_001199739	chr1	150764778	150766778	-	0.000	0.000	1465.0	823.9	1.78	3.89e-90
NM_004079	chr1	150764778	150766778	-	0.000	0.000	1465.0	823.9	1.78	3.89e-90
NM_001366417	chr1	150925263	150927263	+	0.000	0.000	467.0	303.7	1.54	2.30e-18
NM_001145415	chr1	150925363	150927363	+	0.000	0.000	469.0	304.0	1.54	1.15e-18
NM_012432	chr1	150925363	150927363	+	0.000	0.000	469.0	304.0	1.54	1.15e-18
NM_001366418	chr1	150925363	150927363	+	0.000	0.000	469.0	304.0	1.54	1.15e-18
NM_001243491	chr1	150925363	150927363	+	0.000	0.000	469.0	304.0	1.54	1.15e-18
NM_002810	chr1	151253734	151255734	+	0.000	0.000	608.5	336.3	1.81	1.62e-40
NM_001330692	chr1	151253734	151255734	+	0.000	0.000	608.5	336.3	1.81	1.62e-40
NM_001304764	chr1	151280522	151282522	+	0.000	0.000	751.5	376.5	2.00	8.13e-65
