# HOMER Differential Peaks
# Original Peak File = Turcan_K271w_annotated_peaks_ip_32.txt
# Peak File Tag Directory = WC_IP
# Background Tag Directory = RC_IP
#
# Mode = Peaks enriched over background
# Differential peaks = 1885
# Fraction of original peaks = 7.30%
# Original number of peaks = 25819
# Size of region used to count tags = given peak sizes (-fixed)
# Fold change cutoff = 1.50
# Poisson p-value cutoff = 1.00e-03
# strand = 2 (tags counted on 0=+strand, 1=-strand, 2=both strands)
# peak directory tagAdjust = 44
# background directory tagAdjust = 59
#
# cmd = getDifferentialPeaks Turcan_K271w_annotated_peaks_ip_32.txt WC_IP RC_IP -F 1.5 -P 0.001
#
#PeakID	chr	start	end	strand	score	focus ratio/other	Total Tags	Background Tags	Fold Change vs. Background	p-value
3406	chr1	1263532	1266936	+	0.000	0.000	1685.5	558.0	3.02	7.02e-322
2394	chr1	1281604	1283996	+	0.000	0.000	1289.5	469.1	2.75	3.01e-212
1890	chr1	7246903	7248791	+	0.000	0.000	684.5	343.2	1.99	4.07e-59
4784	chr1	10509211	10513993	+	0.000	0.000	1803.0	944.4	1.91	6.48e-136
3277	chr1	10527185	10530460	+	0.000	0.000	1463.0	667.3	2.19	1.13e-155
2242	chr1	12171460	12173700	+	0.000	0.000	395.5	254.3	1.56	2.03e-16
2530	chr1	12615251	12617779	+	0.000	0.000	760.0	436.4	1.74	9.40e-45
2160	chr1	12850751	12852909	+	0.000	0.000	795.0	492.3	1.61	3.56e-36
3752	chr1	13591057	13594807	+	0.000	0.000	2046.5	560.7	3.65	0.00e+00
3151	chr1	13603849	13606998	+	0.000	0.000	1190.0	297.5	4.00	0.00e+00
8079	chr1	15288230	15296307	+	0.000	0.000	4385.0	2205.0	1.99	0.00e+00
5216	chr1	15353581	15358795	+	0.000	0.000	1773.5	1048.2	1.69	2.67e-92
1868	chr1	16181468	16183334	+	0.000	0.000	473.0	300.6	1.57	2.82e-20
1649-2	chr1	17167793	17169440	+	0.000	0.000	696.0	405.5	1.72	2.58e-39
2822	chr1	21097662	21100482	+	0.000	0.000	930.0	522.2	1.78	3.07e-58
2071	chr1	21938724	21940793	+	0.000	0.000	682.5	418.4	1.63	2.28e-32
2746	chr1	23950913	23953657	+	0.000	0.000	874.0	518.5	1.69	5.18e-46
3516	chr1	24410582	24414096	+	0.000	0.000	1655.0	742.5	2.23	2.68e-182
3894	chr1	24415813	24419705	+	0.000	0.000	1102.0	471.2	2.34	4.36e-135
2638-2	chr1	31009635	31012271	+	0.000	0.000	883.5	495.7	1.78	1.87e-55
10010	chr1	31474898	31484906	+	0.000	0.000	5405.5	581.5	9.30	0.00e+00
2007	chr1	31688996	31691001	+	0.000	0.000	839.0	426.9	1.97	1.69e-69
4932	chr1	31700362	31705292	+	0.000	0.000	1648.5	1091.4	1.51	1.78e-55
3288	chr1	36164355	36167641	+	0.000	0.000	1143.5	564.8	2.02	3.44e-101
2629	chr1	37470769	37473396	+	0.000	0.000	595.0	347.2	1.71	1.07e-33
1598	chr1	41626220	41627816	+	0.000	0.000	627.5	286.3	2.19	9.40e-68
2189	chr1	41628451	41630638	+	0.000	0.000	538.0	272.3	1.98	7.03e-46
2820	chr1	42935849	42938667	+	0.000	0.000	611.5	291.1	2.10	4.60e-60
4425	chr1	42939730	42944153	+	0.000	0.000	1592.5	786.7	2.02	4.86e-140
2017	chr1	42962914	42964929	+	0.000	0.000	594.0	242.4	2.45	8.22e-81
3360	chr1	43833132	43836490	+	0.000	0.000	1407.5	912.4	1.54	4.01e-52
1830	chr1	46610672	46612500	+	0.000	0.000	593.5	344.2	1.72	3.49e-34
2011-3	chr1	47649303	47651312	+	0.000	0.000	513.0	252.9	2.03	8.72e-47
