# HOMER Differential Peaks
# Original Peak File = Turcan_CTCF_annotated_peaks_ip_32.txt
# Peak File Tag Directory = WC_IP
# Background Tag Directory = RC_IP
#
# Mode = Peaks enriched over background
# Differential peaks = 2692
# Fraction of original peaks = 16.08%
# Original number of peaks = 16738
# Size of region used to count tags = given peak sizes (-fixed)
# Fold change cutoff = 1.50
# Poisson p-value cutoff = 1.00e-03
# strand = 2 (tags counted on 0=+strand, 1=-strand, 2=both strands)
# peak directory tagAdjust = 39
# background directory tagAdjust = 39
#
# cmd = getDifferentialPeaks Turcan_CTCF_annotated_peaks_ip_32.txt WC_IP RC_IP -F 1.5 -P 0.001
#
#PeakID	chr	start	end	strand	score	focus ratio/other	Total Tags	Background Tags	Fold Change vs. Background	p-value
61	chr1	2139573	2140523	+	0.000	0.000	634.5	208.3	3.05	6.10e-124
99	chr1	6362742	6363479	+	0.000	0.000	271.5	180.2	1.51	1.82e-10
115	chr1	6701665	6702437	+	0.000	0.000	389.5	251.6	1.55	6.55e-16
149	chr1	8408679	8409857	+	0.000	0.000	381.5	246.3	1.55	1.20e-15
163	chr1	8859166	8859915	+	0.000	0.000	398.0	238.7	1.67	3.30e-21
182	chr1	9455425	9456712	+	0.000	0.000	697.5	423.9	1.65	4.55e-34
217	chr1	11644960	11646360	+	0.000	0.000	729.5	475.8	1.53	3.20e-27
219	chr1	11710799	11711782	+	0.000	0.000	428.0	282.0	1.52	4.10e-16
233	chr1	12275034	12277355	+	0.000	0.000	738.5	424.9	1.74	3.64e-43
260	chr1	13665391	13666403	+	0.000	0.000	522.5	344.9	1.52	4.63e-19
267	chr1	13929628	13931228	+	0.000	0.000	416.0	272.8	1.52	5.07e-16
293	chr1	15272155	15273911	+	0.000	0.000	690.0	432.5	1.60	2.88e-30
310	chr1	16032477	16033384	+	0.000	0.000	690.0	442.7	1.56	1.11e-27
354	chr1	17825772	17826849	+	0.000	0.000	453.5	277.7	1.63	3.58e-22
358	chr1	17984163	17985111	+	0.000	0.000	455.5	213.3	2.14	6.24e-47
369	chr1	18681122	18682218	+	0.000	0.000	531.0	323.7	1.64	3.43e-26
383	chr1	19581911	19583228	+	0.000	0.000	666.5	443.7	1.50	5.51e-23
