# HOMER Differential Peaks
# Original Peak File = Turcan_K9_48_annotated_peaks_ip_32.txt
# Peak File Tag Directory = WC_IP
# Background Tag Directory = RC_IP
#
# Mode = Peaks enriched over background
# Differential peaks = 3306
# Fraction of original peaks = 19.14%
# Original number of peaks = 17276
# Size of region used to count tags = given peak sizes (-fixed)
# Fold change cutoff = 1.50
# Poisson p-value cutoff = 1.00e-03
# strand = 2 (tags counted on 0=+strand, 1=-strand, 2=both strands)
# peak directory tagAdjust = 45
# background directory tagAdjust = 39
#
# cmd = getDifferentialPeaks Turcan_K9_48_annotated_peaks_ip_32.txt WC_IP RC_IP -F 1.5 -P 0.001
#
#PeakID	chr	start	end	strand	score	focus ratio/other	Total Tags	Background Tags	Fold Change vs. Background	p-value
48633	chr1	4996734	5045365	+	0.000	0.000	1659.0	599.0	2.77	3.83e-276
67547	chr1	5047483	5115028	+	0.000	0.000	2034.0	619.8	3.28	0.00e+00
12767	chr1	5118847	5131612	+	0.000	0.000	446.5	128.4	3.48	1.35e-105
49977	chr1	5132303	5182278	+	0.000	0.000	1831.0	492.5	3.72	0.00e+00
31064	chr1	5183155	5214217	+	0.000	0.000	1051.5	307.3	3.42	9.96e-241
31092	chr1	5214802	5245892	+	0.000	0.000	1160.5	298.8	3.88	7.40e-312
87353	chr1	5246735	5334086	+	0.000	0.000	3226.5	872.0	3.70	0.00e+00
69785	chr1	5334773	5404556	+	0.000	0.000	2678.0	654.6	4.09	0.00e+00
92081	chr1	5405248	5497327	+	0.000	0.000	3422.5	857.1	3.99	0.00e+00
83254	chr1	5525000	5608252	+	0.000	0.000	2594.0	521.9	4.97	0.00e+00
13654	chr1	5668278	5681930	+	0.000	0.000	638.5	167.3	3.82	7.23e-169
13088	chr1	5712574	5725660	+	0.000	0.000	479.0	117.2	4.09	3.83e-138
279688	chr1	49007569	49287255	+	0.000	0.000	15702.5	2587.5	6.07	0.00e+00
587897	chr1	49287864	49875759	+	0.000	0.000	34021.5	5949.8	5.72	0.00e+00
67996	chr1	49879899	49947893	+	0.000	0.000	3525.5	756.4	4.66	0.00e+00
398144	chr1	49948667	50346809	+	0.000	0.000	38183.5	3856.7	9.90	0.00e+00
29945	chr1	50350887	50380830	+	0.000	0.000	2349.5	222.0	10.58	0.00e+00
321169	chr1	50382187	50703354	+	0.000	0.000	24668.0	3006.7	8.20	0.00e+00
13837	chr1	50744013	50757848	+	0.000	0.000	550.0	237.3	2.32	3.20e-67
6943	chr1	51037037	51043978	+	0.000	0.000	320.0	146.6	2.18	2.60e-35
8368	chr1	51046451	51054817	+	0.000	0.000	320.5	119.3	2.69	4.04e-52
10785	chr1	51055578	51066361	+	0.000	0.000	476.0	192.5	2.47	2.79e-66
30528	chr1	51113515	51144041	+	0.000	0.000	1289.5	566.5	2.28	6.66e-149
7835	chr1	51171365	51179198	+	0.000	0.000	355.0	163.9	2.17	2.76e-38
16157	chr1	57406277	57422432	+	0.000	0.000	448.5	144.4	3.11	1.01e-90
57233	chr1	57506367	57563598	+	0.000	0.000	2094.5	492.6	4.25	0.00e+00
38878	chr1	57567189	57606065	+	0.000	0.000	1445.0	326.9	4.42	0.00e+00
129917	chr1	57645328	57775243	+	0.000	0.000	4747.0	937.0	5.07	0.00e+00
46856	chr1	57775832	57822686	+	0.000	0.000	1765.0	458.1	3.85	0.00e+00
56295	chr1	57823409	57879702	+	0.000	0.000	2286.0	639.9	3.57	0.00e+00
120868	chr1	57880251	58001117	+	0.000	0.000	4951.0	986.0	5.02	0.00e+00
23583	chr1	58107939	58131520	+	0.000	0.000	893.0	189.3	4.72	2.03e-298
15938	chr1	58132411	58148347	+	0.000	0.000	609.0	230.3	2.64	5.10e-95
