# HOMER Differential Peaks
# Original Peak File = Turcan_CTCF_filtered_annotated_peaks_ip.txt
# Peak File Tag Directory = WC_IP
# Background Tag Directory = WG_IP
#
# Mode = Peaks enriched over background
# Differential peaks = 12155
# Fraction of original peaks = 19.17%
# Original number of peaks = 63413
# Size of region used to count tags = given peak sizes (-fixed)
# Fold change cutoff = 1.50
# Poisson p-value cutoff = 1.00e-03
# strand = 2 (tags counted on 0=+strand, 1=-strand, 2=both strands)
# peak directory tagAdjust = 39
# background directory tagAdjust = 39
#
# cmd = getDifferentialPeaks Turcan_CTCF_filtered_annotated_peaks_ip.txt WC_IP WG_IP -F 1.5 -P 0.001
#
#PeakID	chr	start	end	strand	score	focus ratio/other	Total Tags	Background Tags	Fold Change vs. Background	p-value
436-4	chr1	104797	105231	+	0.000	0.000	86.4	52.0	1.66	9.87e-06
311-8	chr1	281378	281687	+	0.000	0.000	55.2	22.0	2.51	2.45e-09
301-11	chr1	357221	357520	+	0.000	0.000	68.3	44.0	1.55	4.74e-04
432-10	chr1	857992	858422	+	0.000	0.000	142.0	88.5	1.60	1.03e-07
2416-2	chr1	868875	871289	+	0.000	0.000	429.5	269.5	1.59	2.32e-19
390-10	chr1	938085	938473	+	0.000	0.000	108.3	72.0	1.50	4.54e-05
337-7	chr1	985388	985723	+	0.000	0.000	26.1	11.0	2.38	8.21e-05
284	chr1	1645070	1645352	+	0.000	0.000	18.1	6.0	3.02	5.69e-05
343	chr1	1659214	1659555	+	0.000	0.000	40.5	23.0	1.76	8.17e-04
185-20	chr1	1899283	1899466	+	0.000	0.000	26.1	10.0	2.61	1.77e-05
680-5	chr1	2194955	2195633	+	0.000	0.000	400.4	240.0	1.67	2.76e-21
213-12	chr1	2546863	2547074	+	0.000	0.000	31.6	9.0	3.51	7.93e-09
409-7	chr1	3319953	3320360	+	0.000	0.000	65.7	17.0	3.87	6.43e-19
153-21	chr1	3410243	3410394	+	0.000	0.000	16.0	4.5	3.56	2.03e-05
368-8	chr1	3910873	3911239	+	0.000	0.000	38.8	18.5	2.10	4.69e-05
362-4	chr1	5620999	5621359	+	0.000	0.000	18.1	4.0	4.53	2.48e-07
