# HOMER Differential Peaks
# Original Peak File = Turcan_K27_annotated_peaks_ip_32.txt
# Peak File Tag Directory = WC_IP
# Background Tag Directory = RC_IP
#
# Mode = Peaks enriched over background
# Differential peaks = 3309
# Fraction of original peaks = 12.94%
# Original number of peaks = 25578
# Size of region used to count tags = given peak sizes (-fixed)
# Fold change cutoff = 1.50
# Poisson p-value cutoff = 1.00e-03
# strand = 2 (tags counted on 0=+strand, 1=-strand, 2=both strands)
# peak directory tagAdjust = 44
# background directory tagAdjust = 44
#
# cmd = getDifferentialPeaks Turcan_K27_annotated_peaks_ip_32.txt WC_IP RC_IP -F 1.5 -P 0.001
#
#PeakID	chr	start	end	strand	score	focus ratio/other	Total Tags	Background Tags	Fold Change vs. Background	p-value
1896	chr1	732715	734609	+	0.000	0.000	739.9	463.5	1.60	3.34e-32
2390	chr1	777117	779505	+	0.000	0.000	1361.8	896.0	1.52	2.27e-47
1524	chr1	965814	967336	+	0.000	0.000	1230.6	580.5	2.12	2.00e-121
1529	chr1	1230590	1232117	+	0.000	0.000	869.4	504.5	1.72	3.85e-49
4839	chr1	1262838	1267675	+	0.000	0.000	3741.1	1352.5	2.77	0.00e+00
3032	chr1	1272043	1275073	+	0.000	0.000	1488.7	784.0	1.90	9.81e-111
2636	chr1	1281341	1283975	+	0.000	0.000	2562.0	1058.0	2.42	0.00e+00
2518	chr1	2289741	2292257	+	0.000	0.000	1390.5	598.0	2.33	1.14e-167
3574	chr1	6489989	6493561	+	0.000	0.000	2801.9	1672.0	1.68	8.92e-140
3069	chr1	7246802	7249869	+	0.000	0.000	1246.6	751.5	1.66	4.02e-61
3571	chr1	7312016	7315585	+	0.000	0.000	1072.6	401.0	2.67	7.99e-169
4263	chr1	7469081	7473342	+	0.000	0.000	3183.5	1492.5	2.13	2.18e-315
1761	chr1	7770557	7772316	+	0.000	0.000	622.5	401.0	1.55	1.11e-24
1426	chr1	7783898	7785322	+	0.000	0.000	743.4	465.0	1.60	1.25e-32
1483	chr1	7953525	7955006	+	0.000	0.000	1010.5	449.0	2.25	2.49e-114
2181	chr1	7960538	7962717	+	0.000	0.000	1365.3	871.5	1.57	6.41e-54
