# HOMER Differential Peaks
# Original Peak File = Turcan_CTCF_annotated_peaks_ip_32.txt
# Peak File Tag Directory = RC_IP
# Background Tag Directory = WC_IP
#
# Mode = Peaks enriched over background
# Differential peaks = 46
# Fraction of original peaks = 0.27%
# Original number of peaks = 16738
# Size of region used to count tags = given peak sizes (-fixed)
# Fold change cutoff = 1.50
# Poisson p-value cutoff = 1.00e-03
# strand = 2 (tags counted on 0=+strand, 1=-strand, 2=both strands)
# peak directory tagAdjust = 39
# background directory tagAdjust = 39
#
# cmd = getDifferentialPeaks Turcan_CTCF_annotated_peaks_ip_32.txt RC_IP WC_IP -F 1.5 -P 0.001
#
#PeakID	chr	start	end	strand	score	focus ratio/other	Total Tags	Background Tags	Fold Change vs. Background	p-value
1033	chr1	50367470	50369279	+	0.000	0.000	855.7	508.0	1.68	8.08e-45
2829	chr1	180514709	180516962	+	0.000	0.000	1110.0	595.0	1.87	5.61e-79
2834	chr1	180862578	180864575	+	0.000	0.000	716.5	407.0	1.76	1.22e-43
2835	chr1	181037153	181038942	+	0.000	0.000	834.6	545.0	1.53	1.03e-30
2838	chr1	181141951	181143504	+	0.000	0.000	747.9	467.5	1.60	8.52e-33
2840	chr1	181188950	181190912	+	0.000	0.000	738.7	490.5	1.51	1.56e-25
2842	chr1	181423334	181426020	+	0.000	0.000	1220.8	693.5	1.76	6.24e-73
2843	chr1	181503815	181504948	+	0.000	0.000	266.8	175.5	1.52	1.29e-10
2847	chr1	181919592	181920182	+	0.000	0.000	525.4	279.0	1.88	1.83e-39
2848	chr1	181936602	181938113	+	0.000	0.000	930.8	311.0	2.99	5.01e-176
2851	chr1	182080413	182081659	+	0.000	0.000	608.4	352.5	1.73	4.02e-35
2852	chr1	182083817	182085447	+	0.000	0.000	866.6	510.5	1.70	1.39e-46
2860	chr1	182595465	182596472	+	0.000	0.000	651.4	428.5	1.52	1.11e-23
2862	chr1	182782028	182786072	+	0.000	0.000	1713.8	986.0	1.74	1.49e-97
2863	chr1	182786190	182787820	+	0.000	0.000	656.3	358.0	1.83	2.58e-45
2866	chr1	182961771	182963177	+	0.000	0.000	927.1	612.0	1.51	1.67e-32
4299	chr2	22354537	22357610	+	0.000	0.000	801.2	490.0	1.64	4.58e-38
4746	chr2	52415178	52417078	+	0.000	0.000	397.1	184.0	2.16	3.07e-42
5188	chr2	81899627	81901718	+	0.000	0.000	336.6	186.0	1.81	3.43e-23
5190	chr2	82233717	82235186	+	0.000	0.000	319.7	194.5	1.64	1.90e-16
5200	chr2	83816994	83818282	+	0.000	0.000	353.8	223.5	1.58	8.48e-16
10612	chr4	12409641	12411376	+	0.000	0.000	500.3	332.0	1.51	5.83e-18
11224	chr4	64271074	64272319	+	0.000	0.000	322.7	184.5	1.75	3.54e-20
11671	chr4	97909338	97910947	+	0.000	0.000	389.5	223.0	1.75	5.83e-24
13211	chr5	26329039	26330770	+	0.000	0.000	346.9	185.0	1.87	3.18e-26
14437	chr5	117076360	117077786	+	0.000	0.000	351.2	228.5	1.54	3.52e-14
14808	chr5	140881452	140883259	+	0.000	0.000	314.1	192.0	1.64	4.59e-16
15236	chr5	165496645	165498588	+	0.000	0.000	422.6	250.0	1.69	2.64e-23
17989	chr6	165728561	165730439	+	0.000	0.000	502.6	290.5	1.73	1.67e-29
19999	chr7	146736251	146737780	+	0.000	0.000	445.4	206.5	2.16	5.55e-47
20005	chr7	147431618	147432674	+	0.000	0.000	526.7	200.5	2.63	3.05e-81
20008	chr7	148142275	148143592	+	0.000	0.000	558.1	274.0	2.04	3.18e-51
20010	chr7	148254862	148256096	+	0.000	0.000	313.8	207.0	1.52	4.41e-12
20012	chr7	148285007	148286940	+	0.000	0.000	427.2	229.5	1.86	1.79e-31
20108	chr7	154743543	154745596	+	0.000	0.000	846.1	540.0	1.57	3.31e-34
20213	chr8	4833349	4834702	+	0.000	0.000	493.3	309.5	1.59	4.95e-22
21012	chr8	55579292	55580356	+	0.000	0.000	327.3	203.0	1.61	8.05e-16
23178	chr9	79232925	79235168	+	0.000	0.000	377.9	241.5	1.56	4.76e-16
23630	chr9	102428077	102428985	+	0.000	0.000	291.0	184.0	1.58	3.44e-13
27096	chr11	37524797	37526152	+	0.000	0.000	381.2	192.5	1.98	3.26e-33
27101	chr11	37945125	37946941	+	0.000	0.000	543.3	337.5	1.61	5.70e-25
27103	chr11	39374155	39376742	+	0.000	0.000	642.5	422.5	1.52	2.14e-23
33195	chr15	20355822	20356967	+	0.000	0.000	771.4	510.0	1.51	3.92e-27
40090	chr20	42678751	42679844	+	0.000	0.000	286.7	185.5	1.55	4.91e-12
40734	chr21	22574324	22576369	+	0.000	0.000	475.1	244.5	1.94	4.81e-39
40740	chr21	23016381	23017625	+	0.000	0.000	415.0	182.0	2.28	3.39e-49
