# HOMER Differential Peaks
# Original Peak File = Turcan_CTCF_annotated_peaks_ip_32.txt
# Peak File Tag Directory = RC_IP
# Background Tag Directory = RG_IP
#
# Mode = Peaks enriched over background
# Differential peaks = 172
# Fraction of original peaks = 0.96%
# Original number of peaks = 17843
# Size of region used to count tags = given peak sizes (-fixed)
# Fold change cutoff = 1.50
# Poisson p-value cutoff = 1.00e-03
# strand = 2 (tags counted on 0=+strand, 1=-strand, 2=both strands)
# peak directory tagAdjust = 50
# background directory tagAdjust = 70
#
# cmd = getDifferentialPeaks Turcan_CTCF_annotated_peaks_ip_32.txt RC_IP RG_IP -F 1.5 -P 0.001
#
#PeakID	chr	start	end	strand	score	focus ratio/other	Total Tags	Background Tags	Fold Change vs. Background	p-value
771	chr1	3724393	3725162	+	0.000	0.000	123.0	74.7	1.65	1.92e-07
1178	chr1	13227792	13228968	+	0.000	0.000	186.5	122.6	1.52	6.21e-08
1023-2	chr1	72824061	72825082	+	0.000	0.000	99.5	63.9	1.56	2.88e-05
718-2	chr1	111755243	111755959	+	0.000	0.000	109.0	70.9	1.54	1.58e-05
568-7	chr1	227730268	227730834	+	0.000	0.000	86.5	57.3	1.51	2.44e-04
1237-2	chr1	240887597	240888832	+	0.000	0.000	115.5	73.0	1.58	3.33e-06
863-7	chr2	26468898	26469759	+	0.000	0.000	165.0	109.4	1.51	4.54e-07
1226-9	chr2	36917786	36919010	+	0.000	0.000	161.5	104.9	1.54	2.27e-07
1037-15	chr2	77796295	77797330	+	0.000	0.000	98.5	59.1	1.67	2.23e-06
1262-6	chr2	81900337	81901597	+	0.000	0.000	208.5	129.2	1.61	1.18e-10
1170-12	chr2	88940835	88942003	+	0.000	0.000	104.0	65.7	1.58	7.70e-06
886-8	chr2	94986220	94987104	+	0.000	0.000	170.0	103.9	1.64	1.71e-09
1571-4	chr2	195937665	195939234	+	0.000	0.000	242.5	158.1	1.53	3.53e-10
516-18	chr2	219476106	219476620	+	0.000	0.000	106.0	67.0	1.58	6.87e-06
1239-10	chr2	231516970	231518207	+	0.000	0.000	251.0	162.6	1.54	8.07e-11
1152-9	chr3	13884886	13886036	+	0.000	0.000	217.0	131.0	1.66	4.02e-12
767-15	chr3	50435861	50436626	+	0.000	0.000	150.0	98.3	1.53	7.70e-07
564-14	chr3	54830576	54831138	+	0.000	0.000	91.0	60.1	1.51	1.23e-04
1154-11	chr3	70107480	70108632	+	0.000	0.000	140.5	91.0	1.54	1.15e-06
1289-14	chr3	89114150	89115437	+	0.000	0.000	87.0	57.7	1.51	1.91e-04
1174-20	chr3	89851726	89852898	+	0.000	0.000	179.5	118.5	1.52	1.36e-07
1146-9	chr3	90351890	90353034	+	0.000	0.000	101.5	56.3	1.80	5.15e-08
1379-7	chr3	96595217	96596594	+	0.000	0.000	118.5	75.0	1.58	2.80e-06
1363-7	chr3	117898168	117899529	+	0.000	0.000	133.0	88.2	1.51	5.43e-06
1295-14	chr3	141560858	141562151	+	0.000	0.000	500.0	304.3	1.64	6.60e-25
982-8	chr3	159252485	159253465	+	0.000	0.000	164.0	74.7	2.20	3.32e-19
2255-3	chr4	6018457	6020710	+	0.000	0.000	281.0	184.1	1.53	2.06e-11
974-17	chr4	8607037	8608009	+	0.000	0.000	113.0	67.0	1.69	1.96e-07
766-16	chr4	8917892	8918656	+	0.000	0.000	135.5	77.8	1.74	2.71e-09
1852-6	chr4	22409606	22411456	+	0.000	0.000	308.0	193.9	1.59	2.64e-14
1298-15	chr4	24475816	24477112	+	0.000	0.000	196.5	122.6	1.60	6.61e-10
1000-8	chr4	63296511	63297509	+	0.000	0.000	125.0	79.6	1.57	1.52e-06
1010-6	chr4	64617562	64618570	+	0.000	0.000	141.0	93.1	1.51	2.32e-06
1889-13	chr4	64712398	64714285	+	0.000	0.000	379.5	236.2	1.61	8.43e-18
1044-11	chr4	65412100	65413142	+	0.000	0.000	138.0	81.3	1.70	6.58e-09
1035-19	chr4	71732479	71733512	+	0.000	0.000	192.5	127.8	1.51	7.48e-08
1380-12	chr4	83490523	83491901	+	0.000	0.000	324.5	193.9	1.67	9.61e-18
2034-2	chr4	90292301	90294333	+	0.000	0.000	269.0	173.0	1.55	8.93e-12
1047-17	chr4	94171333	94172378	+	0.000	0.000	90.0	57.7	1.56	4.91e-05
1221-15	chr4	98092390	98093609	+	0.000	0.000	242.5	161.2	1.50	1.84e-09
850-10	chr4	175560524	175561372	+	0.000	0.000	178.0	115.3	1.54	3.87e-08
911-11	chr5	32057266	32058175	+	0.000	0.000	95.0	55.9	1.70	1.24e-06
642-23	chr5	37774834	37775474	+	0.000	0.000	117.5	72.6	1.62	1.02e-06
1765-7	chr5	90802224	90803987	+	0.000	0.000	243.5	159.5	1.53	4.84e-10
1055-16	chr5	126234236	126235289	+	0.000	0.000	200.0	128.5	1.56	3.34e-09
953-12	chr5	150439102	150440053	+	0.000	0.000	87.5	57.0	1.54	1.30e-04
711-16	chr5	175718605	175719314	+	0.000	0.000	87.5	57.0	1.54	1.30e-04
1483-10	chr5	180090111	180091592	+	0.000	0.000	97.5	60.4	1.61	9.23e-06
724-27	chr6	21596770	21597492	+	0.000	0.000	108.0	69.5	1.55	1.13e-05
574-21	chr6	36027200	36027772	+	0.000	0.000	107.5	63.9	1.68	5.45e-07
933-15	chr6	55240921	55241852	+	0.000	0.000	188.5	113.9	1.65	1.38e-10
1116-16	chr6	76682556	76683670	+	0.000	0.000	127.0	70.2	1.81	7.08e-10
1384-15	chr6	97053385	97054767	+	0.000	0.000	421.5	267.8	1.57	3.58e-18
862-19	chr6	112428872	112429732	+	0.000	0.000	88.0	52.1	1.69	3.66e-06
944-13	chr6	136582617	136583559	+	0.000	0.000	144.5	77.5	1.87	9.43e-12
737-15	chr7	5529244	5529979	+	0.000	0.000	95.5	63.2	1.51	1.16e-04
844-17	chr7	64618858	64619700	+	0.000	0.000	121.5	64.6	1.88	2.54e-10
1541-7	chr7	65307204	65308743	+	0.000	0.000	153.5	97.3	1.58	1.10e-07
953-17	chr7	95794665	95795616	+	0.000	0.000	133.0	80.9	1.64	7.22e-08
1455-10	chr7	101314647	101316100	+	0.000	0.000	251.0	154.6	1.62	7.04e-13
1150-16	chr7	114404946	114406094	+	0.000	0.000	241.0	135.8	1.77	2.67e-16
769-17	chr7	146118800	146119567	+	0.000	0.000	179.5	115.3	1.56	2.47e-08
1226-14	chr7	155412081	155413305	+	0.000	0.000	148.5	93.8	1.58	1.46e-07
894-11	chr7	158885322	158886214	+	0.000	0.000	170.0	103.2	1.65	1.09e-09
982-14	chr8	21811846	21812826	+	0.000	0.000	116.0	75.7	1.53	1.04e-05
759-20	chr8	52948995	52949752	+	0.000	0.000	99.0	57.7	1.72	4.83e-07
902-21	chr8	62130893	62131793	+	0.000	0.000	196.5	126.1	1.56	5.12e-09
1373-15	chr8	63116655	63118026	+	0.000	0.000	242.0	156.3	1.55	1.36e-10
1428-14	chr8	64574469	64575895	+	0.000	0.000	213.5	133.1	1.60	1.11e-10
894-13	chr8	83133218	83134110	+	0.000	0.000	164.0	95.5	1.72	1.29e-10
1439-9	chr8	95056589	95058026	+	0.000	0.000	212.0	138.3	1.53	3.60e-09
1481-17	chr8	99167602	99169081	+	0.000	0.000	304.0	191.8	1.59	4.98e-14
1596-9	chr8	111425214	111426808	+	0.000	0.000	160.5	98.3	1.63	7.11e-09
1668-11	chr8	139630666	139632332	+	0.000	0.000	224.5	121.9	1.84	8.45e-17
1087-16	chr9	26856278	26857363	+	0.000	0.000	158.0	85.5	1.85	1.47e-12
771-35	chr9	100010970	100011739	+	0.000	0.000	181.0	101.4	1.78	7.23e-13
678-25	chr9	104497386	104498062	+	0.000	0.000	149.0	86.9	1.72	8.88e-10
636-27	chr9	129028487	129029121	+	0.000	0.000	151.5	99.0	1.53	7.26e-07
642-34	chr9	133403909	133404549	+	0.000	0.000	116.0	70.5	1.64	4.38e-07
1172-10	chr9	135343470	135344640	+	0.000	0.000	239.0	119.9	1.99	6.54e-22
714-29	chr9	135797464	135798176	+	0.000	0.000	96.0	63.9	1.50	1.09e-04
656-20	chr9	136170139	136170793	+	0.000	0.000	159.0	102.8	1.55	1.73e-07
1068-20	chr9	136283326	136284392	+	0.000	0.000	197.0	122.6	1.61	4.08e-10
1147-23	chr9	136671402	136672547	+	0.000	0.000	134.0	76.4	1.75	1.67e-09
814-3	chr10	6918124	6918936	+	0.000	0.000	99.0	63.6	1.56	2.36e-05
983-3	chr10	13409083	13410064	+	0.000	0.000	107.0	64.6	1.66	8.78e-07
1190-2	chr10	52778010	52779198	+	0.000	0.000	116.5	65.0	1.79	7.46e-09
1321	chr10	53839146	53840465	+	0.000	0.000	246.5	164.3	1.50	1.73e-09
867-4	chr10	53997696	53998561	+	0.000	0.000	82.0	54.5	1.50	3.14e-04
881-4	chr10	103752388	103753267	+	0.000	0.000	171.0	94.5	1.81	1.01e-12
902-7	chr10	115432012	115432912	+	0.000	0.000	95.5	63.6	1.50	1.39e-04
1807-3	chr10	125521361	125523166	+	0.000	0.000	131.5	79.6	1.65	8.00e-08
608-4	chr10	132453073	132453679	+	0.000	0.000	116.5	74.0	1.57	3.86e-06
956	chr10	132654342	132655296	+	0.000	0.000	217.0	140.7	1.54	1.52e-09
1243-6	chr11	1639488	1640729	+	0.000	0.000	159.5	104.6	1.53	4.50e-07
729-6	chr11	1837379	1838106	+	0.000	0.000	132.0	73.6	1.79	6.00e-10
507-3	chr11	3217109	3217614	+	0.000	0.000	105.0	66.4	1.58	7.27e-06
1272-4	chr11	36944862	36946132	+	0.000	0.000	120.0	79.9	1.50	1.73e-05
1018-3	chr11	47355173	47356189	+	0.000	0.000	197.0	128.2	1.54	1.05e-08
502-3	chr11	70814697	70815197	+	0.000	0.000	120.5	66.7	1.81	2.79e-09
639-5	chr11	114738636	114739273	+	0.000	0.000	125.5	78.2	1.61	6.57e-07
983-8	chr11	121249008	121249989	+	0.000	0.000	145.5	89.3	1.63	3.84e-08
1107-5	chr11	133821508	133822613	+	0.000	0.000	115.5	67.0	1.72	6.58e-08
1779-2	chr12	40945948	40947725	+	0.000	0.000	264.0	163.6	1.61	3.54e-13
1366-4	chr12	85871971	85873335	+	0.000	0.000	228.0	150.8	1.51	2.95e-09
1201-9	chr12	85951344	85952543	+	0.000	0.000	181.0	96.9	1.87	1.65e-14
1482	chr12	132413906	132415386	+	0.000	0.000	106.5	70.9	1.50	5.88e-05
943-8	chr12	132523554	132524495	+	0.000	0.000	129.0	84.1	1.53	3.26e-06
981-8	chr13	21478767	21479746	+	0.000	0.000	124.5	77.8	1.60	8.61e-07
697-2	chr13	25509495	25510190	+	0.000	0.000	89.5	52.5	1.71	2.72e-06
1065-7	chr13	60335173	60336236	+	0.000	0.000	150.5	94.8	1.59	1.06e-07
1148-4	chr13	70723463	70724609	+	0.000	0.000	131.5	86.2	1.53	4.23e-06
