# HOMER Differential Peaks
# Original Peak File = Turcan_K271w_annotated_peaks_ip_32.txt
# Peak File Tag Directory = RC_IP
# Background Tag Directory = RG_IP
#
# Mode = Peaks enriched over background
# Differential peaks = 108
# Fraction of original peaks = 0.42%
# Original number of peaks = 25819
# Size of region used to count tags = given peak sizes (-fixed)
# Fold change cutoff = 1.50
# Poisson p-value cutoff = 1.00e-03
# strand = 2 (tags counted on 0=+strand, 1=-strand, 2=both strands)
# peak directory tagAdjust = 59
# background directory tagAdjust = 55
#
# cmd = getDifferentialPeaks Turcan_K271w_annotated_peaks_ip_32.txt RC_IP RG_IP -F 1.5 -P 0.001
#
#PeakID	chr	start	end	strand	score	focus ratio/other	Total Tags	Background Tags	Fold Change vs. Background	p-value
1192	chr1	777642	778832	+	0.000	0.000	490.8	295.0	1.66	2.27e-25
2022	chr1	15765063	15767083	+	0.000	0.000	846.7	533.0	1.59	5.71e-36
2991	chr1	25277037	25280026	+	0.000	0.000	677.8	448.0	1.51	5.16e-24
954	chr1	28669083	28670035	+	0.000	0.000	389.3	259.0	1.50	3.29e-14
5250	chr1	31952749	31957997	+	0.000	0.000	3659.0	2413.0	1.52	1.08e-122
4160	chr1	110419116	110423274	+	0.000	0.000	3480.1	2317.0	1.50	4.33e-112
1585	chr1	120088016	120089599	+	0.000	0.000	521.0	326.0	1.60	1.85e-23
1337	chr1	120158840	120160175	+	0.000	0.000	745.2	452.5	1.65	1.90e-36
1865	chr1	146323267	146325130	+	0.000	0.000	415.3	271.5	1.53	3.92e-16
8190	chr1	182143360	182151548	+	0.000	0.000	8998.9	5860.5	1.54	1.41e-315
2429	chr1	182258525	182260952	+	0.000	0.000	1238.9	815.5	1.52	3.66e-43
2616	chr1	223951404	223954018	+	0.000	0.000	661.1	417.5	1.58	2.97e-28
1884-2	chr1	223961170	223963052	+	0.000	0.000	482.8	298.0	1.62	8.46e-23
3177-5	chr2	9564095	9567270	+	0.000	0.000	2404.0	1514.0	1.59	2.09e-98
2971	chr2	85436490	85439459	+	0.000	0.000	1939.2	1239.5	1.56	2.40e-75
2944-4	chr2	91770787	91773729	+	0.000	0.000	859.3	528.5	1.63	7.52e-40
2354-5	chr2	131667936	131670288	+	0.000	0.000	1227.0	810.0	1.51	2.10e-42
11834	chr3	45133627	45145459	+	0.000	0.000	13087.6	8704.0	1.50	0.00e+00
7751	chr3	46182726	46190475	+	0.000	0.000	8919.2	5898.0	1.51	1.40e-292
4102-5	chr3	53267732	53271832	+	0.000	0.000	2835.1	1889.0	1.50	2.10e-91
3744-4	chr3	120614001	120617743	+	0.000	0.000	2634.3	1708.0	1.54	9.36e-96
2033-15	chr3	155861522	155863553	+	0.000	0.000	512.3	340.5	1.50	3.13e-18
6804-2	chr3	196335988	196342790	+	0.000	0.000	6508.8	4230.0	1.54	6.01e-231
10192	chr4	33718844	33729034	+	0.000	0.000	13170.8	8554.0	1.54	0.00e+00
4713-4	chr4	33744860	33749571	+	0.000	0.000	4436.3	2830.0	1.57	5.82e-171
2101-8	chr4	118556413	118558512	+	0.000	0.000	818.1	541.5	1.51	1.40e-28
1443-12	chr4	119454026	119455467	+	0.000	0.000	578.2	350.5	1.65	7.23e-29
1375-16	chr5	141680565	141681938	+	0.000	0.000	1162.2	767.0	1.52	2.78e-40
3073-4	chr6	57440346	57443417	+	0.000	0.000	722.7	468.0	1.54	9.70e-28
6475-3	chr7	24782760	24789233	+	0.000	0.000	7534.8	4792.0	1.57	2.75e-292
3909-6	chr7	66653320	66657227	+	0.000	0.000	1552.1	1027.0	1.51	1.49e-52
