# HOMER Differential Peaks
# Original Peak File = Turcan_CTCF_annotated_peaks_ip_32.txt
# Peak File Tag Directory = RC_IP
# Background Tag Directory = WC_IP
#
# Mode = Peaks enriched over background
# Differential peaks = 519
# Fraction of original peaks = 2.91%
# Original number of peaks = 17843
# Size of region used to count tags = given peak sizes (-fixed)
# Fold change cutoff = 1.50
# Poisson p-value cutoff = 1.00e-03
# strand = 2 (tags counted on 0=+strand, 1=-strand, 2=both strands)
# peak directory tagAdjust = 50
# background directory tagAdjust = 44
#
# cmd = getDifferentialPeaks Turcan_CTCF_annotated_peaks_ip_32.txt RC_IP WC_IP -F 1.5 -P 0.001
#
#PeakID	chr	start	end	strand	score	focus ratio/other	Total Tags	Background Tags	Fold Change vs. Background	p-value
1353	chr1	24835030	24836381	+	0.000	0.000	42.3	22.5	1.88	1.53e-04
938-3	chr1	33126830	33127766	+	0.000	0.000	45.3	26.0	1.74	4.50e-04
961	chr1	36217369	36218328	+	0.000	0.000	29.2	12.5	2.34	4.60e-05
1949	chr1	40404109	40406056	+	0.000	0.000	98.1	65.0	1.51	8.17e-05
1781	chr1	50367524	50369303	+	0.000	0.000	73.4	12.5	5.87	1.19e-31
2071	chr1	50734421	50736490	+	0.000	0.000	79.6	36.0	2.21	4.15e-10
691	chr1	51088329	51089018	+	0.000	0.000	29.5	14.0	2.11	2.98e-04
1996	chr1	51188913	51190907	+	0.000	0.000	152.8	99.5	1.54	6.12e-07
1820	chr1	55284366	55286184	+	0.000	0.000	48.1	28.5	1.69	5.31e-04
1630	chr1	60280999	60282627	+	0.000	0.000	56.0	34.0	1.65	3.35e-04
1092	chr1	70436294	70437384	+	0.000	0.000	33.0	17.0	1.94	7.47e-04
1986	chr1	73839325	73841309	+	0.000	0.000	72.9	26.0	2.80	9.75e-14
1106-3	chr1	172399098	172400202	+	0.000	0.000	26.0	12.0	2.16	6.86e-04
952-4	chr1	174074407	174075357	+	0.000	0.000	34.7	17.0	2.04	1.83e-04
1227-2	chr1	180415744	180416969	+	0.000	0.000	41.2	18.0	2.29	2.30e-06
3443	chr1	180481302	180484743	+	0.000	0.000	164.6	37.0	4.45	5.12e-53
1596-2	chr1	180532814	180534408	+	0.000	0.000	167.8	42.0	4.00	6.16e-48
2190	chr1	180862349	180864537	+	0.000	0.000	123.7	40.0	3.09	5.83e-26
