# HOMER Differential Peaks
# Original Peak File = Turcan_K9_48_annotated_peaks_ip_32.txt
# Peak File Tag Directory = RC_IP
# Background Tag Directory = WC_IP
#
# Mode = Peaks enriched over background
# Differential peaks = 4906
# Fraction of original peaks = 28.40%
# Original number of peaks = 17276
# Size of region used to count tags = given peak sizes (-fixed)
# Fold change cutoff = 1.50
# Poisson p-value cutoff = 1.00e-03
# strand = 2 (tags counted on 0=+strand, 1=-strand, 2=both strands)
# peak directory tagAdjust = 39
# background directory tagAdjust = 45
#
# cmd = getDifferentialPeaks Turcan_K9_48_annotated_peaks_ip_32.txt RC_IP WC_IP -F 1.5 -P 0.001
#
#PeakID	chr	start	end	strand	score	focus ratio/other	Total Tags	Background Tags	Fold Change vs. Background	p-value
9228	chr1	1969640	1978866	+	0.000	0.000	524.4	179.5	2.92	1.73e-96
53724	chr1	2052673	2106395	+	0.000	0.000	3181.6	798.5	3.98	0.00e+00
9736	chr1	2158586	2168320	+	0.000	0.000	470.9	134.0	3.51	1.54e-112
12870	chr1	2597995	2610863	+	0.000	0.000	786.0	406.0	1.94	1.93e-62
12233	chr1	2611577	2623808	+	0.000	0.000	636.8	420.5	1.51	9.38e-23
5200	chr1	2629338	2634536	+	0.000	0.000	355.8	200.5	1.77	5.03e-23
27523	chr1	3422470	3449991	+	0.000	0.000	835.9	327.5	2.55	2.26e-121
20803	chr1	3510106	3530907	+	0.000	0.000	608.7	310.5	1.96	1.91e-50
5401	chr1	6708803	6714202	+	0.000	0.000	265.9	170.0	1.56	9.86e-12
8461	chr1	7053138	7061597	+	0.000	0.000	408.3	127.0	3.22	4.97e-87
9360	chr1	7075960	7085318	+	0.000	0.000	472.6	299.0	1.58	1.76e-20
9009	chr1	7175450	7184457	+	0.000	0.000	422.2	259.0	1.63	1.04e-20
11790	chr1	7268141	7279929	+	0.000	0.000	554.9	305.5	1.82	1.95e-37
7544	chr1	7282980	7290522	+	0.000	0.000	370.4	180.5	2.05	3.68e-35
6110	chr1	7292208	7298316	+	0.000	0.000	348.9	148.5	2.35	3.18e-44
7645	chr1	7323318	7330961	+	0.000	0.000	331.3	154.5	2.14	5.46e-35
5078	chr1	7360370	7365446	+	0.000	0.000	270.7	138.0	1.96	2.08e-23
8489	chr1	7392839	7401326	+	0.000	0.000	399.7	221.5	1.80	5.65e-27
5858	chr1	8176129	8181985	+	0.000	0.000	245.2	134.0	1.83	5.59e-18
4877	chr1	9033679	9038554	+	0.000	0.000	298.8	189.0	1.58	1.59e-13
4442	chr1	10842425	10846865	+	0.000	0.000	206.1	112.0	1.84	1.22e-15
5464	chr1	12637507	12642969	+	0.000	0.000	328.9	170.0	1.93	4.53e-27
3963	chr1	12666242	12670203	+	0.000	0.000	201.5	126.5	1.59	6.36e-10
13054	chr1	13627926	13640978	+	0.000	0.000	466.7	275.5	1.69	1.03e-25
7348	chr1	14837802	14845148	+	0.000	0.000	427.3	283.5	1.51	1.32e-15
5843	chr1	15306533	15312374	+	0.000	0.000	382.2	246.5	1.55	8.45e-16
6087	chr1	16104345	16110430	+	0.000	0.000	338.4	186.5	1.81	1.56e-23
8515	chr1	17150413	17158926	+	0.000	0.000	440.9	290.5	1.52	2.16e-16
5320	chr1	17173504	17178822	+	0.000	0.000	202.2	125.0	1.62	1.56e-10
10713	chr1	17751483	17762194	+	0.000	0.000	633.0	282.0	2.24	4.09e-72
8521	chr1	17808938	17817457	+	0.000	0.000	300.1	110.5	2.72	5.39e-50
8521-2	chr1	17899378	17907897	+	0.000	0.000	384.7	232.0	1.66	4.83e-20
11067	chr1	18995958	19007023	+	0.000	0.000	537.6	295.5	1.82	1.43e-36
7997	chr1	19515416	19523411	+	0.000	0.000	325.8	182.5	1.79	1.36e-21
10335	chr1	19530062	19540395	+	0.000	0.000	503.7	331.0	1.52	9.88e-19
8721	chr1	20011606	20020325	+	0.000	0.000	340.9	223.0	1.53	2.11e-13
6577	chr1	22300312	22306887	+	0.000	0.000	248.2	161.0	1.54	1.27e-10
8463	chr1	22934390	22942851	+	0.000	0.000	335.6	211.0	1.59	2.30e-15
8638	chr1	23358712	23367348	+	0.000	0.000	604.7	374.5	1.61	8.26e-28
15060	chr1	23871271	23886329	+	0.000	0.000	711.1	455.5	1.56	1.22e-28
7463	chr1	24268273	24275734	+	0.000	0.000	326.9	204.0	1.60	2.40e-15
7694	chr1	24972933	24980625	+	0.000	0.000	469.2	300.5	1.56	1.63e-19
6547	chr1	25157187	25163732	+	0.000	0.000	342.5	179.0	1.91	1.91e-27
6461	chr1	25172933	25179392	+	0.000	0.000	301.7	130.5	2.31	2.53e-37
4713	chr1	25310672	25315383	+	0.000	0.000	181.0	117.5	1.54	3.39e-08
7656	chr1	29374292	29381946	+	0.000	0.000	311.8	193.5	1.61	5.13e-15
6057	chr1	29657258	29663313	+	0.000	0.000	237.8	146.0	1.63	3.01e-12
11509	chr1	30492882	30504389	+	0.000	0.000	336.9	186.0	1.81	3.43e-23
9128	chr1	30577652	30586778	+	0.000	0.000	318.0	182.5	1.74	1.30e-19
9606	chr1	30619859	30629463	+	0.000	0.000	478.6	311.0	1.54	1.03e-18
7330	chr1	30672770	30680098	+	0.000	0.000	309.2	145.5	2.12	3.67e-32
28061	chr1	31448321	31476380	+	0.000	0.000	1470.3	637.0	2.31	1.44e-174
7760	chr1	31485858	31493616	+	0.000	0.000	310.4	118.0	2.63	8.08e-49
13278	chr1	33058144	33071420	+	0.000	0.000	721.0	474.0	1.52	3.71e-26
