# HOMER Differential Peaks
# Original Peak File = Turcan_CTCF_annotated_peaks_ip_32.txt
# Peak File Tag Directory = WC_IP
# Background Tag Directory = RC_IP
#
# Mode = Peaks enriched over background
# Differential peaks = 1630
# Fraction of original peaks = 9.14%
# Original number of peaks = 17843
# Size of region used to count tags = given peak sizes (-fixed)
# Fold change cutoff = 1.50
# Poisson p-value cutoff = 1.00e-03
# strand = 2 (tags counted on 0=+strand, 1=-strand, 2=both strands)
# peak directory tagAdjust = 44
# background directory tagAdjust = 50
#
# cmd = getDifferentialPeaks Turcan_CTCF_annotated_peaks_ip_32.txt WC_IP RC_IP -F 1.5 -P 0.001
#
#PeakID	chr	start	end	strand	score	focus ratio/other	Total Tags	Background Tags	Fold Change vs. Background	p-value
1354	chr1	1371527	1372879	+	0.000	0.000	73.0	42.6	1.71	1.45e-05
1381	chr1	1440601	1441980	+	0.000	0.000	61.0	35.0	1.74	4.42e-05
1542	chr1	2381473	2383013	+	0.000	0.000	70.5	39.9	1.77	1.03e-05
749	chr1	6414098	6414845	+	0.000	0.000	31.0	11.8	2.63	2.37e-06
1171	chr1	6701296	6702465	+	0.000	0.000	44.0	25.5	1.72	5.56e-04
777	chr1	7207638	7208413	+	0.000	0.000	49.0	14.6	3.36	1.19e-12
1006	chr1	7539308	7540312	+	0.000	0.000	33.0	10.6	3.11	2.82e-08
1130-2	chr1	8862130	8863258	+	0.000	0.000	35.5	18.2	1.95	2.92e-04
1236	chr1	8962546	8963780	+	0.000	0.000	65.5	34.0	1.93	1.42e-06
1500	chr1	8987532	8989030	+	0.000	0.000	107.0	69.9	1.53	2.20e-05
1294	chr1	9455506	9456798	+	0.000	0.000	72.5	41.3	1.76	9.57e-06
1281-2	chr1	11645070	11646349	+	0.000	0.000	87.0	49.8	1.75	1.20e-06
907	chr1	11710854	11711759	+	0.000	0.000	42.0	24.2	1.73	6.54e-04
1044	chr1	12783511	12784553	+	0.000	0.000	32.0	14.1	2.28	2.77e-05
1475	chr1	14731416	14732889	+	0.000	0.000	63.5	35.3	1.80	1.60e-05
884	chr1	15994338	15995220	+	0.000	0.000	45.5	25.7	1.77	3.65e-04
823	chr1	16032655	16033476	+	0.000	0.000	72.5	31.4	2.31	3.74e-10
844	chr1	16055882	16056724	+	0.000	0.000	73.5	42.8	1.72	1.70e-05
1062	chr1	16082000	16083060	+	0.000	0.000	108.0	56.1	1.92	5.26e-10
1332	chr1	17059280	17060610	+	0.000	0.000	61.5	39.3	1.57	7.79e-04
1199	chr1	17825701	17826898	+	0.000	0.000	45.0	22.3	2.02	1.52e-05
639	chr1	17984369	17985006	+	0.000	0.000	43.5	20.4	2.13	9.04e-06
955-2	chr1	18681117	18682070	+	0.000	0.000	58.0	30.1	1.93	3.98e-06
2319	chr1	18912172	18914489	+	0.000	0.000	77.0	46.9	1.64	3.52e-05
1123	chr1	19581870	19582991	+	0.000	0.000	79.5	36.8	2.16	1.03e-09
1053-2	chr1	19974471	19975522	+	0.000	0.000	80.0	50.9	1.57	1.00e-04
1759	chr1	21269297	21271054	+	0.000	0.000	107.0	64.4	1.66	7.83e-07
896-3	chr1	22022615	22023509	+	0.000	0.000	30.0	13.7	2.18	9.81e-05
1150	chr1	22275688	22276836	+	0.000	0.000	48.5	25.6	1.89	5.09e-05
1230-2	chr1	22416191	22417419	+	0.000	0.000	80.0	47.8	1.67	1.31e-05
1178-2	chr1	23916522	23917698	+	0.000	0.000	62.5	38.7	1.61	3.43e-04
885	chr1	24112231	24113114	+	0.000	0.000	54.0	24.5	2.20	1.94e-07
1139	chr1	25148271	25149408	+	0.000	0.000	63.0	19.0	3.31	1.57e-15
2052	chr1	26416176	26418226	+	0.000	0.000	101.5	64.1	1.58	1.27e-05
1387-2	chr1	27332302	27333687	+	0.000	0.000	67.0	38.0	1.77	1.29e-05
784	chr1	27556396	27557178	+	0.000	0.000	46.0	27.7	1.66	8.89e-04
1206-2	chr1	27857486	27858690	+	0.000	0.000	76.0	49.2	1.54	2.37e-04
1458	chr1	28876456	28877912	+	0.000	0.000	110.5	71.6	1.54	1.51e-05
1721	chr1	29340573	29342292	+	0.000	0.000	64.0	34.1	1.88	3.05e-06
1243	chr1	30231680	30232921	+	0.000	0.000	34.5	16.0	2.16	6.04e-05
738	chr1	31185494	31186230	+	0.000	0.000	49.0	28.7	1.71	3.39e-04
746	chr1	31745418	31746162	+	0.000	0.000	43.0	19.9	2.16	4.80e-06
1265	chr1	31764526	31765789	+	0.000	0.000	33.0	17.1	1.93	4.07e-04
1596	chr1	31963249	31964843	+	0.000	0.000	138.0	85.0	1.62	8.06e-08
898	chr1	32247832	32248728	+	0.000	0.000	26.5	12.1	2.19	3.52e-04
1451	chr1	32872243	32873692	+	0.000	0.000	55.0	34.8	1.58	9.54e-04
1301-2	chr1	34597454	34598753	+	0.000	0.000	75.0	44.7	1.68	2.13e-05
2381	chr1	34742363	34744742	+	0.000	0.000	95.5	55.3	1.73	7.58e-07
1923	chr1	34785908	34787829	+	0.000	0.000	112.5	64.4	1.75	5.10e-08
979-3	chr1	35564321	35565298	+	0.000	0.000	79.0	52.7	1.50	4.22e-04
1368	chr1	36608693	36610059	+	0.000	0.000	85.0	51.6	1.65	1.25e-05
1096-2	chr1	38071571	38072665	+	0.000	0.000	60.0	37.7	1.59	5.02e-04
1252-2	chr1	39576622	39577872	+	0.000	0.000	47.5	27.6	1.72	4.71e-04
1900	chr1	40437742	40439640	+	0.000	0.000	76.0	38.5	1.97	6.21e-08
746-2	chr1	40624845	40625589	+	0.000	0.000	34.0	14.9	2.28	1.57e-05
1692	chr1	40773366	40775056	+	0.000	0.000	116.0	58.0	2.00	1.30e-11
2437	chr1	40950997	40953432	+	0.000	0.000	85.5	54.5	1.57	7.91e-05
1372	chr1	41811216	41812586	+	0.000	0.000	79.5	45.6	1.74	4.69e-06
1062-2	chr1	42777529	42778589	+	0.000	0.000	71.5	37.4	1.91	6.60e-07
1888	chr1	42912577	42914463	+	0.000	0.000	115.5	64.1	1.80	6.86e-09
2198	chr1	43933586	43935782	+	0.000	0.000	123.0	76.8	1.60	7.34e-07
2105	chr1	44652132	44654235	+	0.000	0.000	98.0	64.6	1.52	6.43e-05
1675	chr1	46178944	46180617	+	0.000	0.000	97.0	60.2	1.61	8.04e-06
1243-2	chr1	46441991	46443232	+	0.000	0.000	131.5	81.4	1.61	2.68e-07
2169	chr1	46445568	46447735	+	0.000	0.000	74.0	49.1	1.51	5.49e-04
1436-2	chr1	46527556	46528990	+	0.000	0.000	105.0	63.3	1.66	9.93e-07
1431	chr1	46724721	46726150	+	0.000	0.000	80.0	50.0	1.60	5.52e-05
1289	chr1	47388187	47389474	+	0.000	0.000	78.0	50.0	1.56	1.45e-04
679	chr1	47432233	47432910	+	0.000	0.000	48.0	14.1	3.41	1.11e-12
1355-2	chr1	54671627	54672980	+	0.000	0.000	75.0	44.3	1.69	1.69e-05
1168	chr1	59717423	59718589	+	0.000	0.000	31.5	13.0	2.43	1.50e-05
1667	chr1	61041906	61043571	+	0.000	0.000	55.0	34.6	1.59	8.33e-04
930	chr1	62391214	62392142	+	0.000	0.000	43.5	23.0	1.89	1.28e-04
2107	chr1	98467649	98469754	+	0.000	0.000	266.0	165.3	1.61	3.88e-13
2012	chr1	98555673	98557683	+	0.000	0.000	83.0	45.0	1.85	2.50e-07
1325	chr1	100459195	100460518	+	0.000	0.000	138.5	79.5	1.74	1.74e-09
1926	chr1	101472991	101474915	+	0.000	0.000	69.5	31.1	2.23	3.43e-09
2097	chr1	101505837	101507932	+	0.000	0.000	149.5	86.0	1.74	4.62e-10
1917-2	chr1	101768787	101770702	+	0.000	0.000	51.5	29.5	1.74	2.08e-04
1154-3	chr1	101819766	101820918	+	0.000	0.000	76.0	19.8	3.84	6.11e-22
1223	chr1	102191330	102192551	+	0.000	0.000	88.5	28.0	3.16	1.23e-19
1217	chr1	102433790	102435005	+	0.000	0.000	46.0	23.6	1.95	2.80e-05
1050-2	chr1	104120281	104121329	+	0.000	0.000	62.0	29.5	2.10	1.26e-07
1540-2	chr1	104647607	104649145	+	0.000	0.000	95.0	58.4	1.63	6.72e-06
2193	chr1	105793051	105795242	+	0.000	0.000	139.0	67.4	2.06	1.57e-14
2551	chr1	106266907	106269456	+	0.000	0.000	106.0	69.4	1.53	2.71e-05
1305	chr1	107196467	107197770	+	0.000	0.000	73.5	33.1	2.22	1.48e-09
2433	chr1	107429089	107431520	+	0.000	0.000	168.5	89.3	1.89	7.74e-14
2327	chr1	107528583	107530908	+	0.000	0.000	133.5	73.0	1.83	1.91e-10
2029	chr1	108048271	108050298	+	0.000	0.000	34.0	17.4	1.95	2.78e-04
1407	chr1	108125111	108126516	+	0.000	0.000	129.0	71.3	1.81	5.17e-10
923	chr1	108316315	108317236	+	0.000	0.000	31.5	13.3	2.37	2.38e-05
1126	chr1	108745710	108746834	+	0.000	0.000	87.5	45.3	1.93	2.49e-08
1628	chr1	108897535	108899161	+	0.000	0.000	115.5	74.3	1.55	7.25e-06
867-3	chr1	109099519	109100384	+	0.000	0.000	57.0	29.0	1.97	2.75e-06
964	chr1	109263339	109264301	+	0.000	0.000	42.0	24.4	1.72	7.73e-04
937	chr1	109490304	109491239	+	0.000	0.000	63.0	39.6	1.59	3.61e-04
1635	chr1	109531937	109533570	+	0.000	0.000	182.5	94.0	1.94	5.79e-16
1240	chr1	109630041	109631279	+	0.000	0.000	39.5	21.5	1.84	4.44e-04
1916	chr1	109639422	109641336	+	0.000	0.000	130.0	61.4	2.12	1.85e-14
1601-2	chr1	109642604	109644203	+	0.000	0.000	56.0	27.7	2.02	1.49e-06
1588	chr1	109773189	109774775	+	0.000	0.000	78.5	50.6	1.55	2.12e-04
1129	chr1	109980511	109981638	+	0.000	0.000	55.5	23.0	2.41	1.12e-08
1497	chr1	110196182	110197677	+	0.000	0.000	137.0	77.9	1.76	8.92e-10
