# HOMER Differential Peaks
# Original Peak File = Turcan_K271w_annotated_peaks_ip_32.txt
# Peak File Tag Directory = RC_IP
# Background Tag Directory = WC_IP
#
# Mode = Peaks enriched over background
# Differential peaks = 6964
# Fraction of original peaks = 26.97%
# Original number of peaks = 25819
# Size of region used to count tags = given peak sizes (-fixed)
# Fold change cutoff = 1.50
# Poisson p-value cutoff = 1.00e-03
# strand = 2 (tags counted on 0=+strand, 1=-strand, 2=both strands)
# peak directory tagAdjust = 59
# background directory tagAdjust = 44
#
# cmd = getDifferentialPeaks Turcan_K271w_annotated_peaks_ip_32.txt RC_IP WC_IP -F 1.5 -P 0.001
#
#PeakID	chr	start	end	strand	score	focus ratio/other	Total Tags	Background Tags	Fold Change vs. Background	p-value
1729	chr1	1304515	1306242	+	0.000	0.000	455.8	268.5	1.70	2.67e-25
1633	chr1	1685700	1687331	+	0.000	0.000	439.8	243.0	1.81	9.73e-30
1997	chr1	6366647	6368642	+	0.000	0.000	444.6	291.5	1.53	6.72e-17
2325	chr1	6384709	6387032	+	0.000	0.000	820.4	466.0	1.76	9.92e-50
2384	chr1	6603081	6605463	+	0.000	0.000	1756.0	1093.0	1.61	9.46e-76
3559	chr1	7886250	7889807	+	0.000	0.000	719.0	407.5	1.76	5.72e-44
2427	chr1	8015263	8017688	+	0.000	0.000	390.1	259.0	1.51	2.17e-14
1737	chr1	8060997	8062732	+	0.000	0.000	558.7	307.5	1.82	9.11e-38
1920	chr1	8126751	8128669	+	0.000	0.000	574.3	293.5	1.96	1.39e-47
2209	chr1	8168707	8170914	+	0.000	0.000	705.7	463.0	1.52	9.96e-26
1925	chr1	8196837	8198760	+	0.000	0.000	521.5	300.0	1.74	5.00e-31
2191	chr1	8210965	8213154	+	0.000	0.000	935.9	423.0	2.21	4.51e-102
2710	chr1	8554231	8556939	+	0.000	0.000	940.6	451.0	2.09	8.98e-90
2561	chr1	8816101	8818660	+	0.000	0.000	583.5	358.0	1.63	7.48e-28
7895	chr1	8873880	8881773	+	0.000	0.000	5013.2	2572.0	1.95	0.00e+00
2032	chr1	8889018	8891048	+	0.000	0.000	717.6	304.0	2.36	3.88e-90
7682	chr1	8898895	8906575	+	0.000	0.000	3167.4	1908.5	1.66	1.62e-152
2063	chr1	8907230	8909291	+	0.000	0.000	858.6	453.5	1.89	3.49e-64
2449	chr1	9180882	9183329	+	0.000	0.000	1241.2	595.5	2.08	8.55e-118
3316	chr1	9289274	9292588	+	0.000	0.000	798.7	417.5	1.91	1.60e-61
3587	chr1	9314551	9318136	+	0.000	0.000	1298.4	743.0	1.75	9.09e-76
3230	chr1	10386368	10389596	+	0.000	0.000	1661.7	1093.5	1.52	2.30e-57
2853	chr1	10398975	10401826	+	0.000	0.000	649.2	392.0	1.66	1.27e-32
2187	chr1	11098360	11100545	+	0.000	0.000	546.7	353.5	1.55	1.57e-21
3671	chr1	11156459	11160128	+	0.000	0.000	2203.3	1213.0	1.82	2.05e-143
2535	chr1	12135737	12138270	+	0.000	0.000	1193.2	743.5	1.60	5.09e-52
2768	chr1	15601555	15604321	+	0.000	0.000	754.7	405.5	1.86	5.43e-54
1252	chr1	15615925	15617175	+	0.000	0.000	378.9	243.5	1.56	9.39e-16
1648	chr1	15617516	15619162	+	0.000	0.000	683.3	363.5	1.88	1.53e-50
7458	chr1	15678823	15686279	+	0.000	0.000	5660.4	3643.5	1.55	1.52e-209
3371	chr1	15702111	15705480	+	0.000	0.000	1702.5	835.0	2.04	2.68e-152
2022	chr1	15765063	15767083	+	0.000	0.000	897.4	369.5	2.43	8.71e-119
1871	chr1	15885247	15887116	+	0.000	0.000	604.6	338.5	1.79	9.50e-39
1549	chr1	16643888	16645435	+	0.000	0.000	593.0	392.0	1.51	2.35e-21
3593	chr1	16902344	16905935	+	0.000	0.000	2243.5	1318.0	1.70	1.24e-118
3797	chr1	17440867	17444662	+	0.000	0.000	1015.9	367.5	2.76	4.69e-169
1738	chr1	17539902	17541638	+	0.000	0.000	516.1	256.5	2.01	4.01e-46
2424	chr1	20057127	20059549	+	0.000	0.000	596.1	296.5	2.01	7.27e-53
2144	chr1	21068923	21071065	+	0.000	0.000	558.3	339.5	1.64	1.29e-27
2103	chr1	21076496	21078597	+	0.000	0.000	381.3	243.0	1.57	1.83e-16
4828	chr1	21148888	21153714	+	0.000	0.000	2197.8	1176.5	1.87	3.55e-155
8339	chr1	21312663	21321000	+	0.000	0.000	4555.7	2985.5	1.53	1.40e-156
3848	chr1	21322281	21326127	+	0.000	0.000	1338.9	764.5	1.75	1.71e-78
2849	chr1	21333432	21336279	+	0.000	0.000	1191.5	745.0	1.60	3.24e-51
2238	chr1	22047627	22049863	+	0.000	0.000	1069.3	502.0	2.13	4.80e-107
1733	chr1	23168882	23170613	+	0.000	0.000	599.5	329.5	1.82	1.31e-40
2457	chr1	23282456	23284911	+	0.000	0.000	413.3	253.5	1.63	2.68e-20
3599	chr1	23367385	23370982	+	0.000	0.000	1381.8	827.0	1.67	3.11e-69
2375	chr1	23376106	23378479	+	0.000	0.000	889.6	490.5	1.81	8.80e-59
2804	chr1	23393338	23396140	+	0.000	0.000	1505.4	525.0	2.87	2.84e-265
2230	chr1	23634093	23636321	+	0.000	0.000	950.5	544.5	1.75	8.86e-56
3695	chr1	23778414	23782107	+	0.000	0.000	1266.4	643.5	1.97	4.44e-104
3362	chr1	24713286	24716646	+	0.000	0.000	1346.8	894.5	1.51	5.31e-45
1828	chr1	24745455	24747281	+	0.000	0.000	835.8	557.0	1.50	3.38e-28
2325-2	chr1	25337729	25340052	+	0.000	0.000	1148.6	693.5	1.66	3.69e-56
3605	chr1	25341636	25345239	+	0.000	0.000	1272.5	716.0	1.78	2.61e-78
4759	chr1	25369052	25373809	+	0.000	0.000	1689.9	826.5	2.04	4.11e-152
2992	chr1	25381076	25384066	+	0.000	0.000	1287.2	538.0	2.39	1.14e-164
3558	chr1	25433611	25437167	+	0.000	0.000	686.7	457.5	1.50	1.59e-23
3468	chr1	25694359	25697825	+	0.000	0.000	1296.7	763.0	1.70	5.30e-69
1681	chr1	25707356	25709035	+	0.000	0.000	590.3	234.0	2.52	1.20e-84
2244	chr1	25742732	25744974	+	0.000	0.000	884.4	349.5	2.53	1.66e-126
2461-2	chr1	25803308	25805767	+	0.000	0.000	721.7	459.5	1.57	1.30e-29
2930	chr1	25891316	25894244	+	0.000	0.000	1408.4	919.0	1.53	9.33e-51
1464	chr1	25996730	25998192	+	0.000	0.000	497.7	301.5	1.65	4.74e-25
1454	chr1	26236783	26238235	+	0.000	0.000	481.7	315.5	1.53	3.17e-18
7909	chr1	26273982	26281889	+	0.000	0.000	3451.7	1815.0	1.90	3.95e-255
2016	chr1	26500000	26502014	+	0.000	0.000	663.5	408.5	1.62	4.88e-31
1843	chr1	26860315	26862156	+	0.000	0.000	506.6	303.0	1.67	1.30e-26
1680	chr1	27073652	27075330	+	0.000	0.000	606.3	353.0	1.72	1.72e-34
3124	chr1	27097941	27101063	+	0.000	0.000	1617.7	1032.0	1.57	1.36e-63
1534	chr1	27122068	27123600	+	0.000	0.000	486.5	297.0	1.64	6.31e-24
2640	chr1	27144292	27146930	+	0.000	0.000	963.8	635.0	1.52	7.28e-34
3096	chr1	27416751	27419845	+	0.000	0.000	1150.7	760.0	1.51	1.11e-39
3808	chr1	27872633	27876439	+	0.000	0.000	1569.4	995.5	1.58	3.17e-63
3433	chr1	27958966	27962397	+	0.000	0.000	1186.8	649.0	1.83	1.20e-79
4389	chr1	28063713	28068100	+	0.000	0.000	1204.1	751.0	1.60	2.60e-52
1170	chr1	28232142	28233310	+	0.000	0.000	376.9	249.5	1.51	5.57e-14
2973	chr1	28247451	28250422	+	0.000	0.000	1016.2	232.5	4.37	5.78e-313
2766	chr1	28257869	28260633	+	0.000	0.000	1231.7	537.0	2.29	1.57e-144
3803	chr1	28415251	28419052	+	0.000	0.000	2226.4	790.0	2.82	0.00e+00
6977	chr1	28420325	28427300	+	0.000	0.000	2016.4	1094.5	1.84	4.97e-137
2504-2	chr1	28427658	28430160	+	0.000	0.000	437.5	285.0	1.53	4.20e-17
1888	chr1	28455334	28457220	+	0.000	0.000	693.8	294.5	2.36	8.60e-87
1823	chr1	28601082	28602903	+	0.000	0.000	447.7	283.5	1.58	2.08e-19
968	chr1	28667829	28668795	+	0.000	0.000	474.2	261.5	1.81	2.88e-32
2551	chr1	28735812	28738361	+	0.000	0.000	713.9	355.5	2.01	1.69e-62
2762	chr1	30434294	30437054	+	0.000	0.000	925.0	435.0	2.13	2.80e-92
1943	chr1	31305576	31307517	+	0.000	0.000	901.8	393.5	2.29	4.12e-106
4911	chr1	31795588	31800497	+	0.000	0.000	2709.9	1501.0	1.81	1.58e-172
2830	chr1	31802123	31804951	+	0.000	0.000	1337.9	554.5	2.41	1.16e-173
