# HOMER Differential Peaks
# Original Peak File = Turcan_K27_annotated_peaks_ip_32.txt
# Peak File Tag Directory = WG_IP
# Background Tag Directory = WC_IP
#
# Mode = Peaks enriched over background
# Differential peaks = 350
# Fraction of original peaks = 1.37%
# Original number of peaks = 25578
# Size of region used to count tags = given peak sizes (-fixed)
# Fold change cutoff = 1.50
# Poisson p-value cutoff = 1.00e-03
# strand = 2 (tags counted on 0=+strand, 1=-strand, 2=both strands)
# peak directory tagAdjust = 44
# background directory tagAdjust = 44
#
# cmd = getDifferentialPeaks Turcan_K27_annotated_peaks_ip_32.txt WG_IP WC_IP -F 1.5 -P 0.001
#
#PeakID	chr	start	end	strand	score	focus ratio/other	Total Tags	Background Tags	Fold Change vs. Background	p-value
1857	chr1	8126707	8128562	+	0.000	0.000	352.5	221.5	1.59	4.04e-16
2926	chr1	12095513	12098437	+	0.000	0.000	424.0	249.2	1.70	5.22e-24
2857	chr1	14741073	14743928	+	0.000	0.000	909.5	582.8	1.56	5.83e-36
2281	chr1	15982683	15984962	+	0.000	0.000	391.5	258.3	1.52	9.87e-15
2591	chr1	30434409	30436998	+	0.000	0.000	448.0	277.1	1.62	2.79e-21
3122	chr1	44445824	44448944	+	0.000	0.000	421.0	244.2	1.72	7.51e-25
2514	chr1	55588542	55591054	+	0.000	0.000	455.5	274.0	1.66	1.17e-23
10292	chr1	55715523	55725813	+	0.000	0.000	3754.5	2498.4	1.50	5.73e-121
2150	chr1	55734028	55736176	+	0.000	0.000	516.5	316.9	1.63	7.25e-25
3066	chr1	59106857	59109921	+	0.000	0.000	496.0	297.5	1.67	5.59e-26
4503	chr1	64037227	64041728	+	0.000	0.000	1217.0	747.3	1.63	4.96e-56
4368	chr1	64080271	64084637	+	0.000	0.000	763.5	497.4	1.54	1.51e-28
3296	chr1	64110015	64113309	+	0.000	0.000	761.5	459.0	1.66	4.24e-38
4624	chr1	78100497	78105119	+	0.000	0.000	750.0	498.8	1.50	7.38e-26
3083	chr1	82085398	82088479	+	0.000	0.000	705.0	460.6	1.53	2.73e-26
4389	chr1	109368327	109372714	+	0.000	0.000	3344.5	2195.4	1.52	1.02e-114
3853	chr1	111363720	111367571	+	0.000	0.000	1296.0	756.9	1.71	6.91e-71
3626	chr1	113517463	113521087	+	0.000	0.000	770.5	437.3	1.76	6.32e-47
2450-2	chr1	118100343	118102791	+	0.000	0.000	547.0	361.0	1.52	5.79e-20
2189-2	chr1	118334089	118336276	+	0.000	0.000	389.5	255.0	1.53	4.15e-15
2045-4	chr1	182258420	182260463	+	0.000	0.000	308.5	197.1	1.56	1.80e-13
6800-2	chr1	215662780	215669578	+	0.000	0.000	1173.5	775.2	1.51	1.95e-40
3457-2	chr1	215748225	215751680	+	0.000	0.000	520.0	335.7	1.55	7.99e-21
7789	chr1	216041589	216049376	+	0.000	0.000	3668.5	2382.3	1.54	1.36e-131
2065-2	chr1	220369239	220371302	+	0.000	0.000	405.0	264.1	1.53	5.50e-16
2872-2	chr1	224758248	224761118	+	0.000	0.000	884.0	531.1	1.66	1.53e-44
