# HOMER Differential Peaks
# Original Peak File = Turcan_K9_1w_annotated_peaks_ip_32.txt
# Peak File Tag Directory = RC_IP
# Background Tag Directory = WC_IP
#
# Mode = Peaks enriched over background
# Differential peaks = 6739
# Fraction of original peaks = 33.07%
# Original number of peaks = 20381
# Size of region used to count tags = given peak sizes (-fixed)
# Fold change cutoff = 1.50
# Poisson p-value cutoff = 1.00e-03
# strand = 2 (tags counted on 0=+strand, 1=-strand, 2=both strands)
# peak directory tagAdjust = 50
# background directory tagAdjust = 65
#
# cmd = getDifferentialPeaks Turcan_K9_1w_annotated_peaks_ip_32.txt RC_IP WC_IP -F 1.5 -P 0.001
#
#PeakID	chr	start	end	strand	score	focus ratio/other	Total Tags	Background Tags	Fold Change vs. Background	p-value
5158	chr1	786507	791663	+	0.000	0.000	393.0	248.3	1.58	1.62e-17
6554	chr1	1487554	1494106	+	0.000	0.000	398.0	234.6	1.70	1.97e-22
4131	chr1	1769077	1773206	+	0.000	0.000	303.5	182.8	1.66	2.92e-16
5683	chr1	1949573	1955254	+	0.000	0.000	249.0	148.6	1.68	3.75e-14
4648	chr1	1974178	1978824	+	0.000	0.000	238.0	129.5	1.84	9.52e-18
13183	chr1	2060901	2074082	+	0.000	0.000	796.5	335.8	2.37	7.86e-101
19786	chr1	2074505	2094289	+	0.000	0.000	1208.0	461.9	2.62	9.09e-183
15012	chr1	2106930	2121940	+	0.000	0.000	596.5	136.4	4.37	1.59e-184
11254	chr1	2157738	2168990	+	0.000	0.000	456.0	172.6	2.64	1.34e-71
24928	chr1	2598752	2623678	+	0.000	0.000	1505.0	735.2	2.05	2.32e-136
5496	chr1	6708488	6713982	+	0.000	0.000	365.5	233.7	1.56	1.24e-15
10615	chr1	7074580	7085193	+	0.000	0.000	572.5	350.5	1.63	1.43e-27
8441	chr1	7178023	7186462	+	0.000	0.000	487.0	309.9	1.57	1.02e-20
8562	chr1	7199841	7208401	+	0.000	0.000	345.0	151.0	2.28	1.14e-41
6509	chr1	7239148	7245655	+	0.000	0.000	304.0	131.0	2.32	3.93e-38
12351	chr1	7268376	7280725	+	0.000	0.000	907.5	441.4	2.06	8.59e-84
4923	chr1	7285537	7290458	+	0.000	0.000	286.5	148.6	1.93	1.09e-23
3584	chr1	7294584	7298166	+	0.000	0.000	301.5	184.8	1.63	2.86e-15
6918	chr1	7305032	7311948	+	0.000	0.000	366.0	197.5	1.85	5.88e-27
9422	chr1	7321983	7331403	+	0.000	0.000	489.0	219.0	2.23	1.49e-55
7837	chr1	7359875	7367710	+	0.000	0.000	414.5	216.1	1.92	4.47e-33
7662	chr1	7393520	7401180	+	0.000	0.000	570.0	369.1	1.54	2.17e-22
4535	chr1	8177511	8182044	+	0.000	0.000	289.0	162.8	1.78	3.12e-19
3407	chr1	9028421	9031826	+	0.000	0.000	201.0	131.5	1.53	1.10e-08
5907	chr1	9032564	9038469	+	0.000	0.000	371.5	239.5	1.55	2.29e-15
5859	chr1	9283243	9289100	+	0.000	0.000	425.0	263.5	1.61	3.99e-20
6921	chr1	12382955	12389874	+	0.000	0.000	527.5	323.6	1.63	2.32e-25
4923-2	chr1	12637975	12642896	+	0.000	0.000	394.0	153.0	2.58	2.11e-59
8234	chr1	12698278	12706510	+	0.000	0.000	393.5	178.4	2.21	9.48e-44
5249	chr1	15307396	15312643	+	0.000	0.000	464.5	281.6	1.65	1.73e-23
9181	chr1	16101562	16110741	+	0.000	0.000	557.0	295.7	1.88	7.46e-42
8631	chr1	17150293	17158922	+	0.000	0.000	514.0	326.0	1.58	4.96e-22
9423	chr1	17173664	17183085	+	0.000	0.000	438.0	287.9	1.52	1.30e-16
8689	chr1	17752169	17760856	+	0.000	0.000	568.0	212.6	2.67	2.44e-90
8147	chr1	17809235	17817380	+	0.000	0.000	359.5	180.9	1.99	1.26e-31
5792	chr1	18514339	18520129	+	0.000	0.000	284.5	186.7	1.52	2.28e-11
4714	chr1	18979393	18984105	+	0.000	0.000	262.5	155.0	1.69	3.18e-15
10974	chr1	18995958	19006930	+	0.000	0.000	712.5	409.6	1.74	8.32e-42
5539	chr1	19133159	19138696	+	0.000	0.000	303.5	144.7	2.10	1.35e-30
6789	chr1	19516587	19523374	+	0.000	0.000	355.5	227.3	1.56	3.06e-15
10893	chr1	19530048	19540939	+	0.000	0.000	623.5	385.7	1.62	8.71e-29
4831	chr1	19829559	19834388	+	0.000	0.000	206.5	135.9	1.52	1.35e-08
14664	chr1	20011609	20026271	+	0.000	0.000	753.0	443.8	1.70	8.94e-41
10096	chr1	20127590	20137684	+	0.000	0.000	482.0	241.0	2.00	1.33e-42
7573	chr1	20418818	20426389	+	0.000	0.000	581.0	353.9	1.64	1.47e-28
10138	chr1	22298981	22309117	+	0.000	0.000	488.5	325.1	1.50	2.41e-17
7379	chr1	22437717	22445094	+	0.000	0.000	492.0	285.5	1.72	1.03e-28
8202	chr1	23359007	23367207	+	0.000	0.000	776.5	515.2	1.51	7.16e-27
4533	chr1	23944123	23948654	+	0.000	0.000	359.5	208.2	1.73	1.80e-21
3288	chr1	24005083	24008369	+	0.000	0.000	226.0	132.5	1.71	9.78e-14
5282	chr1	24133239	24138519	+	0.000	0.000	223.5	130.5	1.71	1.23e-13
3768	chr1	24458733	24462499	+	0.000	0.000	218.0	141.3	1.54	1.34e-09
4752	chr1	25076046	25080796	+	0.000	0.000	245.5	136.4	1.80	3.95e-17
5453	chr1	25114701	25120152	+	0.000	0.000	324.0	205.8	1.57	1.77e-14
5822	chr1	25149477	25155297	+	0.000	0.000	255.5	154.0	1.66	6.32e-14
7133	chr1	25157126	25164257	+	0.000	0.000	507.5	265.4	1.91	9.65e-40
8067	chr1	25171283	25179348	+	0.000	0.000	452.0	245.9	1.84	4.09e-32
3850	chr1	29840250	29844098	+	0.000	0.000	255.0	147.6	1.73	7.38e-16
4501	chr1	29992205	29996704	+	0.000	0.000	279.5	179.9	1.55	4.85e-12
6238	chr1	30427892	30434128	+	0.000	0.000	278.5	124.6	2.23	2.46e-32
6618	chr1	30497627	30504243	+	0.000	0.000	236.5	126.6	1.87	2.66e-18
10295	chr1	30554404	30564697	+	0.000	0.000	545.5	306.0	1.78	5.86e-35
7977	chr1	30581224	30589199	+	0.000	0.000	336.5	191.6	1.76	2.84e-21
6125	chr1	30672990	30679113	+	0.000	0.000	354.0	201.9	1.75	2.58e-22
30008	chr1	31446721	31476727	+	0.000	0.000	1844.0	753.3	2.45	8.51e-246
6984	chr1	31485604	31492586	+	0.000	0.000	396.5	133.4	2.97	2.76e-75
5915	chr1	31540255	31546168	+	0.000	0.000	306.0	172.6	1.77	3.45e-20
11772	chr1	33058836	33070606	+	0.000	0.000	836.5	519.1	1.61	1.51e-37
8884	chr1	33196428	33205310	+	0.000	0.000	538.0	254.7	2.11	6.60e-54
5577	chr1	33414023	33419598	+	0.000	0.000	339.5	202.9	1.67	1.80e-18
9580	chr1	33554574	33564152	+	0.000	0.000	515.5	342.7	1.50	2.73e-18
5728	chr1	33923003	33928729	+	0.000	0.000	382.0	233.7	1.63	3.89e-19
7708	chr1	34114259	34121965	+	0.000	0.000	471.5	312.4	1.51	4.14e-17
7181	chr1	34237895	34245074	+	0.000	0.000	384.0	150.6	2.55	5.76e-57
6907	chr1	34255082	34261987	+	0.000	0.000	269.0	125.1	2.15	5.35e-29
6799	chr1	34279807	34286604	+	0.000	0.000	303.0	153.0	1.98	7.79e-27
20795	chr1	34296469	34317262	+	0.000	0.000	1093.0	690.2	1.58	1.73e-45
10070	chr1	34395150	34405218	+	0.000	0.000	482.0	230.7	2.09	2.82e-47
5234	chr1	34890368	34895600	+	0.000	0.000	368.5	212.1	1.74	2.21e-22
6405	chr1	34948805	34955208	+	0.000	0.000	292.5	162.8	1.80	5.40e-20
4052	chr1	35032385	35036435	+	0.000	0.000	224.0	139.8	1.60	3.54e-11
6260	chr1	35061146	35067404	+	0.000	0.000	316.0	178.9	1.77	1.51e-20
10114	chr1	35159062	35169174	+	0.000	0.000	637.0	353.4	1.80	5.36e-42
11129	chr1	35486625	35497752	+	0.000	0.000	536.0	197.0	2.72	4.55e-88
6991	chr1	35527175	35534164	+	0.000	0.000	455.0	177.0	2.57	4.16e-68
7545	chr1	37200385	37207928	+	0.000	0.000	359.0	211.2	1.70	1.48e-20
6581	chr1	38590189	38596768	+	0.000	0.000	353.5	214.6	1.65	3.42e-18
5866	chr1	40021811	40027675	+	0.000	0.000	344.0	165.2	2.08	4.97e-34
19422	chr1	40099775	40119195	+	0.000	0.000	1324.5	771.4	1.72	5.96e-73
6748	chr1	40354173	40360919	+	0.000	0.000	412.0	234.6	1.76	8.89e-26
12185	chr1	40437251	40449434	+	0.000	0.000	711.0	233.7	3.04	1.08e-138
25336	chr1	40451480	40476814	+	0.000	0.000	2513.5	1575.5	1.60	7.95e-105
51389	chr1	40478834	40530221	+	0.000	0.000	3604.5	2182.1	1.65	2.52e-170
8465	chr1	40541812	40550275	+	0.000	0.000	438.0	181.8	2.41	3.47e-58
7095	chr1	40559508	40566601	+	0.000	0.000	311.5	136.9	2.28	2.35e-37
3430-2	chr1	40869772	40873200	+	0.000	0.000	241.0	158.4	1.52	6.42e-10
4380	chr1	40892129	40896507	+	0.000	0.000	279.5	184.8	1.51	6.79e-11
5444	chr1	41166497	41171939	+	0.000	0.000	376.0	211.2	1.78	1.11e-24
10364	chr1	41248989	41259351	+	0.000	0.000	588.0	339.2	1.73	1.47e-34
9496	chr1	41331740	41341234	+	0.000	0.000	638.5	394.0	1.62	1.07e-29
8092	chr1	41550491	41558581	+	0.000	0.000	387.5	192.1	2.02	3.39e-35
5279	chr1	42016577	42021854	+	0.000	0.000	355.5	172.1	2.07	2.51e-34
7019	chr1	42087154	42094171	+	0.000	0.000	305.0	193.6	1.58	9.08e-14
7812	chr1	42233483	42241293	+	0.000	0.000	507.0	232.7	2.18	1.43e-54
9724	chr1	42241885	42251607	+	0.000	0.000	514.5	253.2	2.03	5.65e-47
4767	chr1	42515609	42520374	+	0.000	0.000	369.5	211.2	1.75	6.08e-23
5017	chr1	42585789	42590804	+	0.000	0.000	289.5	123.2	2.35	3.92e-37
6091	chr1	42622056	42628145	+	0.000	0.000	300.5	147.1	2.04	1.66e-28
8180	chr1	42706212	42714390	+	0.000	0.000	376.0	217.0	1.73	9.69e-23
3933	chr1	44337708	44341639	+	0.000	0.000	254.5	132.5	1.92	4.84e-21
6781	chr1	45070547	45077326	+	0.000	0.000	354.0	202.4	1.75	3.73e-22
5155	chr1	45276348	45281501	+	0.000	0.000	265.0	169.6	1.56	7.94e-12
8099	chr1	45941155	45949252	+	0.000	0.000	403.0	219.0	1.84	6.37e-29
4210	chr1	46098348	46102556	+	0.000	0.000	239.5	151.0	1.59	2.54e-11
5414	chr1	46647089	46652501	+	0.000	0.000	395.5	220.9	1.79	3.83e-26
4378	chr1	47833600	47837976	+	0.000	0.000	301.0	180.9	1.66	2.21e-16
5749	chr1	48369701	48375448	+	0.000	0.000	290.0	168.6	1.72	1.49e-17
5607	chr1	48860626	48866231	+	0.000	0.000	348.0	139.8	2.49	1.38e-49
8578	chr1	52211784	52220360	+	0.000	0.000	414.5	142.7	2.90	6.64e-76
10508	chr1	52538180	52548686	+	0.000	0.000	651.5	395.9	1.65	6.12e-32
8269	chr1	52617185	52625452	+	0.000	0.000	494.5	285.5	1.73	3.43e-29
5169-2	chr1	53355647	53360814	+	0.000	0.000	330.0	155.0	2.13	1.97e-34
6485	chr1	55224211	55230694	+	0.000	0.000	365.0	226.8	1.61	2.15e-17
5477	chr1	55293279	55298754	+	0.000	0.000	228.0	151.5	1.50	4.38e-09
13223	chr1	55385877	55399098	+	0.000	0.000	794.5	505.4	1.57	1.46e-32
3851	chr1	55404156	55408005	+	0.000	0.000	219.0	139.3	1.57	2.79e-10
9122	chr1	55431776	55440896	+	0.000	0.000	426.0	236.1	1.80	8.27e-29
7252	chr1	55547708	55554958	+	0.000	0.000	330.0	202.9	1.63	1.71e-16
4772	chr1	55606166	55610936	+	0.000	0.000	243.5	153.5	1.59	1.67e-11
6056	chr1	55626712	55632766	+	0.000	0.000	366.0	183.3	2.00	1.12e-32
6426	chr1	55661342	55667766	+	0.000	0.000	583.5	283.5	2.06	1.09e-54
8690	chr1	55676526	55685214	+	0.000	0.000	467.5	283.0	1.65	9.96e-24
8169	chr1	55768530	55776697	+	0.000	0.000	419.0	168.6	2.48	4.30e-59
8996	chr1	55802698	55811692	+	0.000	0.000	411.5	247.8	1.66	1.84e-21
6408	chr1	55888790	55895196	+	0.000	0.000	380.5	194.6	1.96	4.73e-32
6201	chr1	56083464	56089663	+	0.000	0.000	289.0	142.2	2.03	2.67e-27
8224	chr1	56107102	56115324	+	0.000	0.000	365.0	227.3	1.61	2.90e-17
4753	chr1	56239155	56243906	+	0.000	0.000	244.5	133.9	1.83	9.74e-18
8863	chr1	56306865	56315726	+	0.000	0.000	408.0	250.3	1.63	4.06e-20
6152-2	chr1	56698555	56704705	+	0.000	0.000	285.5	152.0	1.88	4.63e-22
5904	chr1	56968548	56974450	+	0.000	0.000	320.0	159.4	2.01	3.32e-29
7026	chr1	58599744	58606768	+	0.000	0.000	300.0	188.7	1.59	5.19e-14
6617	chr1	58911855	58918470	+	0.000	0.000	365.0	159.8	2.28	6.01e-44
4467	chr1	59086176	59090641	+	0.000	0.000	264.5	154.0	1.72	5.40e-16
8002	chr1	59189313	59197313	+	0.000	0.000	473.5	287.4	1.65	8.59e-24
12750	chr1	59199463	59212211	+	0.000	0.000	571.0	360.8	1.58	1.23e-24
7088	chr1	59241943	59249029	+	0.000	0.000	431.0	190.2	2.27	9.25e-51
8157	chr1	59300157	59308312	+	0.000	0.000	583.5	318.7	1.83	2.72e-40
4859	chr1	59377158	59382015	+	0.000	0.000	228.0	134.4	1.70	1.34e-13
7318	chr1	59464656	59471972	+	0.000	0.000	323.0	143.2	2.26	3.94e-38
5189	chr1	59571094	59576281	+	0.000	0.000	312.0	193.6	1.61	3.31e-15
6852	chr1	59581638	59588488	+	0.000	0.000	258.0	131.0	1.97	8.21e-23
6192	chr1	59670826	59677016	+	0.000	0.000	357.5	159.8	2.24	4.19e-41
4392	chr1	60963523	60967913	+	0.000	0.000	260.0	142.7	1.82	8.86e-19
6287	chr1	62466337	62472622	+	0.000	0.000	347.5	183.8	1.89	5.81e-27
6486	chr1	62641620	62648104	+	0.000	0.000	345.5	157.9	2.19	5.51e-38
5443	chr1	63578184	63583625	+	0.000	0.000	338.5	170.6	1.98	9.43e-30
6584	chr1	64025448	64032030	+	0.000	0.000	356.5	174.5	2.04	1.61e-33
10151	chr1	65092557	65102706	+	0.000	0.000	528.5	347.6	1.52	1.50e-19
6957	chr1	65775119	65782074	+	0.000	0.000	268.5	138.3	1.94	1.10e-22
8295	chr1	65925931	65934224	+	0.000	0.000	372.5	235.6	1.58	1.56e-16
5565	chr1	65973200	65978763	+	0.000	0.000	298.0	157.4	1.89	1.38e-23
8406	chr1	66384160	66392564	+	0.000	0.000	439.5	273.7	1.61	2.63e-20
6268	chr1	66457733	66463999	+	0.000	0.000	348.0	225.3	1.54	2.33e-14
6527	chr1	66511583	66518108	+	0.000	0.000	293.5	157.9	1.86	5.04e-22
7272	chr1	67033928	67041198	+	0.000	0.000	413.0	200.4	2.06	1.64e-39
11109	chr1	67063970	67075077	+	0.000	0.000	577.5	383.7	1.50	2.57e-20
5059-2	chr1	67382284	67387341	+	0.000	0.000	227.0	133.4	1.70	1.14e-13
7483	chr1	67870585	67878066	+	0.000	0.000	260.0	173.0	1.50	4.48e-10
7799	chr1	67898636	67906433	+	0.000	0.000	322.0	206.8	1.56	7.73e-14
