# HOMER Differential Peaks
# Original Peak File = Turcan_CTCF_annotated_peaks_ip_32.txt
# Peak File Tag Directory = RG_IP
# Background Tag Directory = RC_IP
#
# Mode = Peaks enriched over background
# Differential peaks = 163
# Fraction of original peaks = 0.91%
# Original number of peaks = 17843
# Size of region used to count tags = given peak sizes (-fixed)
# Fold change cutoff = 1.50
# Poisson p-value cutoff = 1.00e-03
# strand = 2 (tags counted on 0=+strand, 1=-strand, 2=both strands)
# peak directory tagAdjust = 70
# background directory tagAdjust = 50
#
# cmd = getDifferentialPeaks Turcan_CTCF_annotated_peaks_ip_32.txt RG_IP RC_IP -F 1.5 -P 0.001
#
#PeakID	chr	start	end	strand	score	focus ratio/other	Total Tags	Background Tags	Fold Change vs. Background	p-value
2636	chr1	869070	871704	+	0.000	0.000	195.2	119.5	1.63	1.51e-10
808-2	chr1	8718672	8719478	+	0.000	0.000	79.9	52.5	1.52	3.87e-04
896-3	chr1	22022615	22023509	+	0.000	0.000	104.9	63.5	1.65	1.96e-06
1107	chr1	25402608	25403713	+	0.000	0.000	154.9	79.0	1.96	5.52e-14
1122	chr1	31704698	31705818	+	0.000	0.000	109.4	68.0	1.61	2.89e-06
1140-2	chr1	65948644	65949782	+	0.000	0.000	161.5	99.0	1.63	6.70e-09
2029	chr1	108048271	108050298	+	0.000	0.000	136.2	80.5	1.69	1.10e-08
1230-4	chr1	119582371	119583599	+	0.000	0.000	123.0	79.0	1.56	4.40e-06
715	chr1	146401303	146402016	+	0.000	0.000	81.6	54.0	1.51	3.62e-04
828	chr1	146477904	146478730	+	0.000	0.000	109.8	71.0	1.55	1.70e-05
1044-2	chr1	161097299	161098341	+	0.000	0.000	84.4	56.0	1.51	2.87e-04
1922	chr1	179866872	179868792	+	0.000	0.000	167.1	107.0	1.56	4.93e-08
1238-3	chr1	202926096	202927332	+	0.000	0.000	108.4	67.5	1.61	3.45e-06
1019-2	chr1	230268640	230269657	+	0.000	0.000	150.1	89.5	1.68	3.40e-09
1453-6	chr2	12415874	12417325	+	0.000	0.000	133.1	82.0	1.62	1.43e-07
787-7	chr2	20179381	20180166	+	0.000	0.000	90.0	56.0	1.61	2.90e-05
807-7	chr2	44897133	44897938	+	0.000	0.000	85.5	53.0	1.61	3.17e-05
1471-6	chr2	46229245	46230714	+	0.000	0.000	153.9	92.5	1.66	5.47e-09
1028-11	chr2	46293935	46294961	+	0.000	0.000	97.6	58.0	1.68	1.82e-06
952-9	chr2	61635434	61636384	+	0.000	0.000	168.8	109.0	1.55	9.75e-08
1361-6	chr2	74482792	74484151	+	0.000	0.000	266.5	177.0	1.51	2.81e-10
1422-6	chr2	87228459	87229879	+	0.000	0.000	150.8	95.5	1.58	1.57e-07
1443-11	chr2	91759030	91760471	+	0.000	0.000	150.4	72.0	2.09	7.13e-16
1111-14	chr2	95402809	95403918	+	0.000	0.000	97.6	55.0	1.77	1.98e-07
1081-10	chr2	102234914	102235993	+	0.000	0.000	110.8	67.5	1.64	1.28e-06
1139-11	chr2	111735801	111736938	+	0.000	0.000	131.3	73.5	1.79	9.63e-10
822-10	chr2	153770279	153771099	+	0.000	0.000	132.7	85.0	1.56	1.42e-06
916-9	chr2	207046597	207047511	+	0.000	0.000	116.0	68.5	1.69	1.09e-07
1364-10	chr2	232445966	232447328	+	0.000	0.000	89.6	59.5	1.51	2.13e-04
1620-5	chr2	237164845	237166463	+	0.000	0.000	179.3	101.5	1.77	2.43e-12
1372-16	chr2	241732071	241733441	+	0.000	0.000	172.3	111.0	1.55	4.99e-08
917-14	chr3	42572098	42573013	+	0.000	0.000	112.9	75.0	1.51	3.98e-05
1236-5	chr3	49157466	49158700	+	0.000	0.000	79.6	52.0	1.53	2.95e-04
905-8	chr3	52681784	52682687	+	0.000	0.000	118.8	73.0	1.63	7.99e-07
787-10	chr3	55720567	55721352	+	0.000	0.000	92.4	61.0	1.51	1.30e-04
1288-12	chr3	104987633	104988919	+	0.000	0.000	133.4	84.5	1.58	6.69e-07
1071-13	chr3	112699479	112700548	+	0.000	0.000	194.5	119.5	1.63	2.48e-10
1456-8	chr3	114154988	114156442	+	0.000	0.000	129.6	85.0	1.52	5.41e-06
1378-8	chr3	134448598	134449974	+	0.000	0.000	175.1	97.0	1.81	7.11e-13
997-9	chr3	141231085	141232080	+	0.000	0.000	94.5	59.0	1.60	1.63e-05
1426-9	chr3	141737668	141739092	+	0.000	0.000	185.9	121.5	1.53	5.21e-08
1999-6	chr3	198167225	198169222	+	0.000	0.000	251.5	140.5	1.79	3.09e-17
934-10	chr4	12844945	12845877	+	0.000	0.000	85.8	53.0	1.62	3.17e-05
825-19	chr4	13881551	13882374	+	0.000	0.000	151.1	99.0	1.53	7.22e-07
981-15	chr4	16913706	16914685	+	0.000	0.000	100.1	63.5	1.58	1.41e-05
1271-10	chr4	71130750	71132019	+	0.000	0.000	153.9	98.5	1.56	2.24e-07
1276-10	chr4	71526365	71527639	+	0.000	0.000	90.3	57.0	1.58	3.30e-05
1397-11	chr4	74037941	74039336	+	0.000	0.000	84.8	52.0	1.63	2.76e-05
2098-4	chr4	77366212	77368308	+	0.000	0.000	142.1	84.5	1.68	7.37e-09
1150-11	chr4	118423558	118424706	+	0.000	0.000	166.1	110.0	1.51	4.00e-07
1479-15	chr5	8842460	8843937	+	0.000	0.000	208.8	137.0	1.52	1.03e-08
2403-2	chr5	34464173	34466574	+	0.000	0.000	222.3	139.5	1.59	7.65e-11
925-19	chr5	61138727	61139650	+	0.000	0.000	130.3	77.0	1.69	2.35e-08
1929-5	chr5	73518928	73520855	+	0.000	0.000	266.8	174.5	1.53	7.59e-11
